@relation .a/glass0/glass0
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.52222108, 13.21045, 3.7716, 0.79076, 71.9884, 0.13041, 10.2452, 0.0, 0.0, positive
1.51919134, 14.417, 3.57853, 1.36856, 72.078, 0.5589, 8.30292, 0.0, 0.0, positive
1.51595658, 12.7915, 3.60996, 1.61894, 72.9684, 0.63963, 8.0662, 0.0, 0.1326, positive
1.51777898, 13.21045, 3.38995, 1.33004, 72.7612, 0.58995, 8.59344, 0.0, 0.0, positive
1.51761952, 12.61195, 3.592, 1.31078, 73.2876, 0.57753, 8.4966, 0.0, 0.0, positive
1.51796122, 12.7383, 3.47975, 1.3493, 72.9572, 0.63963, 8.67952, 0.0, 0.0, positive
1.5215149, 13.11735, 3.57853, 0.8999, 72.2012, 0.22977, 9.82008, 0.0, 0.0816, positive
1.51850794, 13.19715, 3.62792, 1.07003, 72.8284, 0.57132, 8.41052, 0.09135, 0.0867, negative
1.52176548, 13.7491, 1.01025, 1.35893, 72.19, 0.32913, 11.14356, 0.0, 0.0, negative
1.51689056, 13.33015, 3.53812, 1.60931, 72.5428, 0.6831, 8.10924, 0.0, 0.0, negative
1.51645774, 13.4432, 3.60996, 1.53869, 72.3916, 0.65826, 8.03392, 0.0, 0.0, negative
1.51711836, 12.89125, 3.61894, 1.57079, 72.9572, 0.60858, 8.10924, 0.0, 0.0, negative
1.52222108, 14.4274, 0.0, 0.99941, 72.6716, 0.09936, 11.52016, 0.0, 0.0408, negative
1.52739214, 11.0226, 0.0, 0.74903, 73.0804, 0.0, 14.96336, 0.0, 0.0, negative
1.5173006, 12.3526, 2.72094, 1.62857, 72.8676, 0.70173, 9.22828, 0.0, 0.0, negative
1.51609326, 13.42325, 3.39893, 1.2209, 72.6884, 0.58995, 8.32444, 0.0, 0.0, negative
1.52058092, 12.85135, 1.61191, 2.17106, 72.1788, 0.75762, 9.70172, 0.2394, 0.2601, negative
1.51887242, 14.99265, 0.78126, 1.74092, 72.498, 0.0, 9.9492, 0.0, 0.0, negative
1.51509094, 15.15225, 0.0, 2.25131, 73.5004, 0.0, 8.3352, 0.63, 0.0, negative
1.51711836, 14.2279, 0.0, 2.08118, 73.3604, 0.0, 8.61496, 1.6695, 0.0, negative
1.51622994, 14.2013, 0.0, 2.79059, 73.4612, 0.03726, 9.04536, 0.40005, 0.459, negative
1.51732338, 14.95275, 0.0, 1.7987, 72.9908, 0.0, 8.61496, 1.5498, 0.0, negative
