@relation .a/yeast1/yeast1
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.4, 0.39, 0.6, 0.15, 0.5, 0.0, 0.58, 0.3, negative
0.8, 0.88, 0.36, 0.39, 0.5, 0.0, 0.56, 0.33, negative
0.79, 0.57, 0.41, 0.28, 0.5, 0.0, 0.59, 0.22, negative
0.74, 0.57, 0.51, 0.28, 0.5, 0.0, 0.58, 0.22, negative
0.53, 0.44, 0.51, 0.33, 0.5, 0.0, 0.55, 0.22, negative
0.37, 0.32, 0.47, 0.18, 0.5, 0.0, 0.45, 0.25, positive
0.54, 0.48, 0.44, 0.08, 0.5, 0.0, 0.52, 0.27, negative
0.63, 0.57, 0.59, 0.4, 0.5, 0.0, 0.38, 0.22, negative
0.43, 0.57, 0.51, 0.49, 0.5, 0.0, 0.48, 0.22, negative
0.69, 0.7, 0.52, 0.36, 0.5, 0.0, 0.46, 0.22, negative
0.4, 0.44, 0.49, 0.47, 0.5, 0.0, 0.49, 0.27, positive
0.47, 0.47, 0.57, 0.48, 0.5, 0.0, 0.48, 0.22, negative
0.32, 0.57, 0.5, 0.15, 0.5, 0.0, 0.53, 0.22, negative
0.46, 0.43, 0.38, 0.33, 0.5, 0.0, 0.48, 0.28, negative
0.52, 0.77, 0.38, 0.34, 0.5, 0.0, 0.51, 0.22, negative
0.78, 0.74, 0.58, 0.25, 1.0, 0.0, 0.53, 0.22, negative
0.31, 0.46, 0.54, 0.52, 0.5, 0.0, 0.5, 0.34, positive
0.55, 0.42, 0.34, 0.3, 0.5, 0.0, 0.52, 0.22, negative
0.8, 0.46, 0.5, 0.15, 0.5, 0.0, 0.53, 0.22, negative
0.6, 0.56, 0.47, 0.2, 0.5, 0.0, 0.5, 0.38, positive
0.78, 0.7, 0.32, 0.23, 0.5, 0.0, 0.53, 0.22, negative
0.57, 0.59, 0.44, 0.16, 0.5, 0.0, 0.52, 0.22, negative
0.81, 0.82, 0.41, 0.36, 0.5, 0.0, 0.39, 0.22, negative
0.69, 0.6, 0.5, 0.31, 0.5, 0.0, 0.55, 0.22, negative
0.59, 0.65, 0.52, 0.3, 0.5, 0.0, 0.46, 0.31, negative
0.37, 0.33, 0.5, 0.12, 0.5, 0.0, 0.51, 0.54, negative
0.31, 0.31, 0.54, 0.18, 0.5, 0.0, 0.52, 0.29, positive
0.38, 0.47, 0.53, 0.12, 0.5, 0.0, 0.48, 0.22, negative
0.49, 0.43, 0.48, 0.15, 0.5, 0.0, 0.55, 0.25, negative
0.43, 0.54, 0.58, 0.16, 0.5, 0.0, 0.5, 0.36, positive
0.34, 0.66, 0.51, 0.16, 0.5, 0.0, 0.47, 0.33, positive
0.74, 0.53, 0.5, 0.08, 0.5, 0.0, 0.55, 0.31, negative
0.39, 0.39, 0.55, 0.52, 0.5, 0.0, 0.37, 0.16, positive
0.5, 0.45, 0.49, 0.15, 0.5, 0.0, 0.55, 0.43, positive
0.66, 0.62, 0.52, 0.17, 0.5, 0.0, 0.49, 0.22, negative
0.44, 0.41, 0.58, 0.2, 0.5, 0.0, 0.57, 0.25, negative
0.45, 0.56, 0.51, 0.64, 0.5, 0.0, 0.54, 0.22, negative
0.43, 0.44, 0.3, 0.18, 0.5, 0.0, 0.51, 0.22, negative
0.46, 0.41, 0.5, 0.44, 0.5, 0.0, 0.53, 0.22, negative
0.59, 0.53, 0.47, 0.26, 0.5, 0.0, 0.53, 0.31, positive
0.36, 0.35, 0.47, 0.22, 0.5, 0.0, 0.44, 0.31, negative
0.46, 0.47, 0.46, 0.16, 0.5, 0.0, 0.51, 0.22, negative
0.39, 0.37, 0.33, 0.23, 0.5, 0.0, 0.53, 0.26, negative
0.33, 0.38, 0.53, 0.26, 0.5, 0.0, 0.52, 0.27, positive
0.53, 0.48, 0.45, 0.44, 0.5, 0.0, 0.49, 0.27, negative
0.34, 0.54, 0.54, 0.13, 0.5, 0.0, 0.52, 0.22, negative
0.55, 0.65, 0.5, 0.28, 0.5, 0.0, 0.55, 0.22, positive
0.29, 0.46, 0.54, 0.27, 0.5, 0.0, 0.49, 0.22, negative
0.6, 0.59, 0.45, 0.23, 0.5, 0.0, 0.55, 0.22, negative
0.6, 0.62, 0.54, 0.4, 0.5, 0.0, 0.5, 0.22, negative
0.52, 0.5, 0.59, 0.31, 0.5, 0.0, 0.5, 0.22, negative
0.57, 0.61, 0.55, 0.27, 0.5, 0.0, 0.44, 0.21, negative
0.57, 0.58, 0.58, 0.35, 0.5, 0.0, 0.49, 0.22, negative
0.61, 0.46, 0.51, 0.37, 0.5, 0.0, 0.51, 0.22, negative
0.52, 0.38, 0.62, 0.12, 0.5, 0.0, 0.41, 0.28, positive
0.46, 0.46, 0.56, 0.12, 0.5, 0.0, 0.55, 0.22, negative
0.37, 0.41, 0.45, 0.14, 0.5, 0.0, 0.47, 0.22, negative
0.59, 0.58, 0.39, 0.52, 0.5, 0.0, 0.5, 0.31, negative
0.48, 0.54, 0.53, 0.6, 0.5, 0.0, 0.53, 0.31, positive
0.35, 0.44, 0.54, 0.26, 0.5, 0.0, 0.52, 0.26, positive
0.45, 0.21, 0.49, 0.24, 0.5, 0.0, 0.46, 0.31, positive
0.48, 0.49, 0.45, 0.23, 0.5, 0.0, 0.51, 0.22, negative
0.39, 0.42, 0.49, 0.1, 0.5, 0.0, 0.49, 0.65, positive
0.47, 0.43, 0.59, 0.27, 0.5, 0.0, 0.55, 0.22, negative
0.5, 0.51, 0.57, 0.27, 0.5, 0.0, 0.48, 0.22, negative
0.45, 0.46, 0.61, 0.2, 0.5, 0.0, 0.62, 0.22, negative
0.49, 0.45, 0.46, 0.18, 0.5, 0.0, 0.49, 0.31, negative
0.62, 0.43, 0.49, 0.29, 0.5, 0.0, 0.5, 0.27, negative
0.45, 0.41, 0.49, 0.14, 1.0, 0.0, 0.53, 0.3, negative
0.46, 0.46, 0.53, 0.23, 0.5, 0.0, 0.51, 0.22, negative
0.74, 0.72, 0.5, 0.28, 0.5, 0.0, 0.49, 0.27, negative
0.4, 0.37, 0.54, 0.13, 0.5, 0.0, 0.48, 0.22, positive
0.59, 0.61, 0.51, 0.62, 0.5, 0.0, 0.51, 0.38, negative
0.47, 0.54, 0.53, 0.77, 0.5, 0.0, 0.52, 0.36, negative
0.49, 0.6, 0.3, 0.34, 0.5, 0.0, 0.5, 0.43, negative
0.4, 0.39, 0.33, 0.17, 0.5, 0.0, 0.51, 0.31, negative
0.49, 0.71, 0.54, 0.13, 0.5, 0.0, 0.58, 0.22, positive
0.56, 0.5, 0.56, 0.26, 0.5, 0.0, 0.53, 0.27, positive
0.75, 0.69, 0.48, 0.13, 0.5, 0.0, 0.57, 0.4, negative
0.45, 0.48, 0.56, 0.56, 0.5, 0.0, 0.47, 0.22, positive
0.49, 0.45, 0.57, 0.24, 0.5, 0.0, 0.47, 0.38, positive
0.59, 0.46, 0.48, 0.46, 0.5, 0.0, 0.49, 0.22, negative
0.43, 0.46, 0.5, 0.21, 0.5, 0.0, 0.49, 0.34, negative
0.61, 0.55, 0.51, 0.26, 0.5, 0.0, 0.52, 0.22, negative
0.5, 0.62, 0.52, 0.3, 0.5, 0.0, 0.56, 0.22, negative
0.39, 0.44, 0.54, 0.24, 0.5, 0.0, 0.51, 0.49, positive
0.53, 0.46, 0.54, 0.37, 0.5, 0.0, 0.51, 0.3, positive
0.57, 0.55, 0.52, 0.16, 0.5, 0.0, 0.49, 0.39, positive
0.72, 0.51, 0.52, 0.08, 0.5, 0.0, 0.54, 0.22, positive
0.35, 0.41, 0.53, 0.27, 0.5, 0.0, 0.47, 0.29, positive
0.54, 0.57, 0.55, 0.18, 0.5, 0.0, 0.5, 0.22, positive
0.5, 0.56, 0.63, 0.25, 0.5, 0.0, 0.42, 0.22, positive
0.61, 0.48, 0.56, 0.19, 0.5, 0.0, 0.53, 0.31, negative
0.44, 0.36, 0.64, 0.45, 0.5, 0.0, 0.53, 0.11, negative
0.58, 0.45, 0.55, 0.27, 0.5, 0.0, 0.48, 0.11, negative
0.53, 0.57, 0.6, 0.36, 0.5, 0.0, 0.5, 0.22, negative
0.42, 0.38, 0.52, 0.29, 0.5, 0.0, 0.42, 0.22, positive
