@relation .a/yeast1/yeast1
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.42, 0.44, 0.48, 0.54, 0.5, 0.0, 0.48, 0.22, negative
0.51, 0.4, 0.56, 0.17, 0.5, 0.5, 0.49, 0.22, negative
0.61, 0.6, 0.55, 0.21, 0.5, 0.0, 0.5, 0.25, positive
0.57, 0.47, 0.6, 0.18, 0.5, 0.0, 0.51, 0.22, negative
0.59, 0.53, 0.43, 0.44, 0.5, 0.0, 0.5, 0.22, negative
0.64, 0.56, 0.56, 0.22, 0.5, 0.0, 0.45, 0.22, negative
0.43, 0.35, 0.52, 0.52, 0.5, 0.0, 0.54, 0.22, negative
0.6, 0.47, 0.45, 0.22, 0.5, 0.0, 0.51, 0.29, negative
0.34, 0.46, 0.57, 0.09, 0.5, 0.0, 0.55, 0.22, negative
0.58, 0.51, 0.49, 0.27, 0.5, 0.0, 0.57, 0.29, negative
0.63, 0.53, 0.54, 0.4, 0.5, 0.0, 0.5, 0.22, negative
0.39, 0.44, 0.35, 0.16, 0.5, 0.0, 0.55, 0.22, negative
0.78, 0.75, 0.4, 0.28, 0.5, 0.0, 0.53, 0.22, negative
0.65, 0.65, 0.52, 0.16, 0.5, 0.0, 0.6, 0.22, negative
0.59, 0.6, 0.49, 0.43, 0.5, 0.0, 0.53, 0.31, negative
0.31, 0.55, 0.52, 0.17, 0.5, 0.0, 0.52, 0.22, negative
0.37, 0.42, 0.51, 0.11, 0.5, 0.0, 0.57, 0.22, negative
0.52, 0.56, 0.54, 0.53, 0.5, 0.0, 0.45, 0.22, negative
0.49, 0.6, 0.43, 0.56, 0.5, 0.0, 0.36, 0.22, negative
0.34, 0.36, 0.54, 0.11, 0.5, 0.0, 0.36, 0.21, positive
0.41, 0.45, 0.53, 0.17, 0.5, 0.0, 0.51, 0.25, positive
0.42, 0.57, 0.72, 0.22, 0.5, 0.0, 0.57, 0.22, negative
0.44, 0.68, 0.45, 0.51, 0.5, 0.0, 0.52, 0.41, negative
