@relation A1_2s
@attribute f1 real [0.134, 15.992]
@attribute f2 real [0.236, 15.978]
@attribute class {red, green}
@inputs f1, f2
@outputs class
@data
10.102084026077037,14.060159213204349,red
1.1714273653749991,6.990342317937543,green
6.8474210922089735,15.031439532860164,green
2.743115789431464,6.267536721413367,green
6.175609905898397,7.2681158209860675,green
2.9103965156874203,10.417237492571473,green
8.424628809359124,2.8001134570469124,green
4.362046151249388,12.115840695323653,green
9.845032228958278,13.763377376534807,green
12.599062137976851,1.1587581176518071,green
14.68438365832214,14.48570625583632,green
3.6231590783503016,12.07066959423032,green
2.950118974078851,0.7890015143539006,green
1.7094488362764828,5.9156541591988265,green
4.834417032939681,15.44025080275214,green
0.3402306648264286,11.593364423075723,green
14.278063951119494,10.399925355001683,green
12.807075656162064,15.356932464435205,green
11.187048310604425,3.10032914625703,green
10.930288860585472,5.632942192997987,green
13.183974794864712,5.976578853874477,green
2.4854819363914293,7.4708297884958546,red
7.669083395831459,14.616667767655127,green
0.7575780104605201,10.324908616950099,green
12.525227557318637,15.355426742933266,green
8.42765508909833,8.15273535476107,green
8.139974057405169,1.7493118491612716,green
7.208639823780682,10.596439015353234,green
1.6050934739539713,9.780671208358477,green
10.500894291772426,8.505326574015275,green
1.882986103473176,13.282501459610446,green
3.5838814365866836,14.73563297342629,green
10.881228036165831,5.423873881810957,green
12.495733296415494,10.707676682507104,green
10.677007322617646,1.5852031768353907,green
2.1221303119502366,13.247747977942245,green
6.533472757642118,6.7412039523974725,green
10.34844129330711,14.368912626546745,red
12.326538005688704,10.483922154070068,green
13.918443243551028,11.506194610143963,green
7.849819621362442,10.98838298777548,green
6.394146422602134,6.630071449819825,green
15.374472245829176,8.235577950612534,green
3.0067078503620364,6.0763249063238565,red
11.106638990762267,1.6435229459442553,green
12.079979916004795,3.0569433019019807,red
2.3300576228152643,7.857540566940066,green
9.486869842646227,14.932897479798806,red
11.49903360840678,3.4600347125315505,green
5.326540707538743,12.050079866743962,green
3.7901547740986605,6.572047969777504,red
8.606630908083702,8.804800570395386,green
8.06252736202822,10.374467388629661,green
9.150158960851998,11.54279225935111,green
9.952629336287037,8.253125353532438,green
4.842836544934537,1.3301221778016608,green
1.2224212825413634,1.8695084266655329,green
1.3121093024523078,1.1767700570844075,green
2.8772236319356104,6.761192192568258,green
2.955339755763301,9.21126126264586,green
2.0716206615285278,6.5646030700696425,green
7.980921396743937,12.060217455845649,green
10.943549677773454,12.304352716069975,green
5.5240434783375845,13.657828873679726,green
4.890640254785276,9.359468515484641,green
3.837803052439713,6.719645046374234,red
5.734321796571409,1.3281491766365685,green
12.048180289319296,14.719219403181755,green
13.065363484697311,13.1405483232996,green
11.923170322447678,3.055271565005424,red
13.453180590668518,15.977963066860793,green
15.521175288775082,11.130300708690553,green
3.023909626266581,6.447524270095746,green
12.116213749570555,8.23274261670867,green
13.645920208164126,7.346825886851921,green
6.0623726795237705,5.785297936246223,green
