@relation .a/vehicle1/vehicle1
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {positive, negative}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
95, 48, 83, 178, 72, 10, 162, 42, 20, 159, 176, 379, 184, 70, 6, 16, 187, 197, negative
102, 45, 85, 193, 64, 6, 192, 33, 22, 146, 217, 570, 163, 76, 6, 7, 195, 193, negative
80, 38, 63, 129, 55, 7, 146, 46, 19, 130, 168, 314, 158, 83, 9, 20, 180, 185, positive
97, 44, 96, 195, 63, 9, 185, 36, 22, 144, 202, 512, 165, 66, 4, 8, 191, 199, positive
103, 50, 98, 212, 63, 9, 193, 34, 22, 161, 214, 567, 185, 64, 5, 5, 198, 204, negative
93, 45, 86, 201, 69, 7, 184, 35, 22, 145, 203, 523, 183, 72, 0, 4, 194, 197, negative
98, 49, 84, 219, 74, 7, 190, 34, 22, 154, 208, 558, 209, 74, 4, 7, 195, 195, negative
86, 40, 62, 140, 62, 7, 150, 45, 19, 133, 165, 330, 173, 82, 2, 3, 180, 185, positive
89, 41, 84, 141, 58, 9, 149, 45, 19, 145, 172, 330, 162, 72, 4, 18, 188, 200, negative
104, 55, 107, 222, 68, 11, 218, 31, 24, 173, 232, 703, 229, 71, 3, 10, 188, 199, positive
86, 43, 68, 152, 62, 7, 150, 44, 19, 142, 179, 337, 164, 75, 4, 9, 188, 192, negative
87, 44, 65, 124, 56, 6, 149, 46, 19, 144, 170, 321, 171, 87, 4, 12, 179, 182, negative
102, 54, 100, 163, 53, 10, 213, 31, 24, 173, 219, 669, 201, 76, 12, 27, 187, 195, negative
81, 42, 63, 125, 55, 8, 149, 46, 19, 145, 166, 320, 172, 86, 7, 7, 179, 182, negative
93, 36, 64, 165, 69, 8, 136, 49, 18, 136, 161, 279, 127, 67, 2, 29, 193, 204, negative
103, 54, 91, 179, 57, 11, 220, 31, 25, 170, 220, 707, 198, 72, 1, 32, 186, 198, negative
84, 39, 90, 180, 60, 7, 177, 37, 21, 131, 209, 469, 145, 71, 4, 38, 190, 198, negative
91, 42, 81, 193, 69, 5, 169, 38, 20, 137, 184, 434, 156, 68, 3, 23, 198, 204, negative
86, 43, 66, 130, 56, 7, 152, 44, 19, 142, 177, 340, 173, 81, 6, 14, 181, 185, negative
81, 46, 71, 130, 56, 7, 153, 44, 19, 149, 172, 342, 191, 81, 3, 14, 180, 186, negative
93, 47, 85, 163, 66, 11, 156, 44, 20, 158, 172, 355, 178, 74, 7, 15, 183, 195, negative
93, 41, 79, 159, 63, 8, 144, 46, 19, 150, 165, 309, 134, 67, 4, 9, 195, 203, negative
89, 36, 77, 172, 62, 8, 157, 42, 19, 125, 174, 367, 126, 63, 5, 22, 198, 205, negative
93, 47, 85, 161, 65, 12, 155, 43, 19, 157, 179, 354, 178, 76, 2, 9, 184, 196, negative
91, 39, 88, 189, 63, 9, 175, 38, 21, 132, 197, 457, 156, 69, 0, 23, 191, 198, positive
86, 39, 60, 140, 60, 7, 119, 55, 17, 134, 140, 212, 141, 61, 7, 8, 200, 207, negative
94, 37, 73, 186, 71, 7, 154, 42, 19, 127, 171, 362, 132, 67, 2, 8, 197, 206, negative
100, 44, 93, 193, 62, 8, 186, 35, 22, 147, 202, 521, 151, 66, 0, 2, 193, 198, negative
82, 43, 73, 154, 65, 7, 151, 44, 19, 143, 178, 341, 160, 76, 5, 11, 185, 189, negative
83, 41, 70, 155, 65, 7, 144, 46, 19, 141, 168, 309, 147, 71, 4, 12, 188, 195, negative
98, 52, 86, 207, 69, 5, 192, 33, 22, 161, 212, 570, 221, 75, 4, 6, 194, 195, negative
90, 50, 90, 188, 61, 10, 181, 36, 21, 158, 211, 492, 220, 69, 6, 19, 191, 199, positive
102, 51, 92, 194, 60, 6, 220, 30, 25, 162, 247, 731, 209, 80, 7, 7, 188, 186, negative
89, 38, 80, 169, 59, 7, 161, 41, 20, 131, 186, 389, 137, 68, 5, 15, 192, 197, positive
99, 57, 109, 220, 66, 11, 221, 30, 25, 176, 234, 725, 236, 70, 10, 25, 188, 200, negative
102, 54, 101, 190, 58, 10, 222, 30, 25, 171, 224, 728, 203, 71, 13, 6, 189, 198, negative
95, 47, 81, 176, 59, 7, 168, 39, 20, 152, 196, 425, 185, 67, 4, 4, 191, 198, positive
