@relation .a/vehicle1/vehicle1
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {positive, negative}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
93, 41, 82, 159, 63, 9, 144, 46, 19, 143, 160, 309, 127, 63, 6, 10, 199, 207, negative
97, 43, 73, 173, 65, 6, 153, 42, 19, 143, 176, 361, 172, 66, 13, 1, 200, 204, negative
96, 55, 103, 201, 65, 9, 204, 32, 23, 166, 227, 624, 246, 74, 6, 2, 186, 194, negative
85, 45, 80, 154, 64, 9, 147, 45, 19, 148, 169, 324, 174, 71, 1, 4, 188, 199, negative
81, 45, 68, 169, 73, 6, 151, 44, 19, 146, 173, 336, 186, 75, 7, 0, 183, 189, negative
94, 49, 87, 137, 54, 11, 158, 43, 20, 162, 178, 366, 186, 75, 5, 5, 183, 194, negative
85, 42, 66, 122, 54, 6, 148, 46, 19, 141, 172, 317, 174, 88, 6, 14, 180, 182, negative
107, 53, 103, 221, 66, 11, 209, 32, 24, 163, 222, 653, 212, 66, 0, 1, 191, 201, negative
77, 38, 63, 135, 59, 5, 130, 52, 18, 130, 145, 247, 139, 79, 13, 21, 183, 187, negative
110, 58, 106, 180, 51, 6, 261, 26, 28, 171, 278, 998, 257, 83, 9, 13, 181, 182, negative
94, 48, 83, 162, 64, 10, 156, 43, 19, 153, 177, 357, 187, 74, 4, 14, 185, 196, negative
109, 53, 109, 221, 69, 12, 221, 31, 25, 169, 226, 712, 212, 72, 13, 28, 188, 201, positive
92, 40, 82, 163, 63, 9, 146, 45, 19, 140, 165, 319, 137, 64, 9, 0, 199, 206, negative
85, 41, 66, 155, 65, 22, 149, 45, 19, 139, 173, 330, 155, 75, 6, 16, 184, 191, negative
100, 48, 95, 209, 68, 7, 199, 32, 23, 150, 216, 605, 200, 73, 7, 11, 192, 194, negative
86, 48, 75, 136, 58, 10, 161, 43, 20, 163, 170, 371, 185, 75, 3, 1, 183, 192, negative
90, 37, 80, 171, 58, 9, 157, 42, 20, 132, 172, 373, 115, 60, 3, 18, 201, 209, positive
103, 54, 107, 218, 64, 12, 222, 30, 25, 174, 221, 728, 199, 67, 0, 18, 189, 200, negative
