@relation .a/vehicle0/vehicle0
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {positive, negative}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
85, 45, 80, 154, 64, 9, 147, 45, 19, 148, 169, 324, 174, 71, 1, 4, 188, 199, positive
100, 58, 109, 230, 70, 11, 226, 30, 25, 182, 234, 752, 207, 72, 0, 13, 187, 198, negative
88, 48, 90, 178, 60, 8, 175, 38, 21, 152, 200, 460, 198, 68, 13, 16, 192, 199, negative
83, 42, 66, 156, 67, 7, 150, 45, 19, 144, 174, 333, 159, 78, 4, 2, 182, 188, negative
94, 40, 85, 186, 62, 9, 169, 39, 20, 139, 184, 430, 133, 61, 2, 9, 200, 210, negative
91, 39, 77, 153, 59, 8, 139, 48, 18, 139, 159, 289, 123, 62, 8, 17, 201, 209, positive
87, 41, 66, 140, 58, 6, 148, 46, 19, 136, 164, 318, 178, 79, 19, 2, 181, 185, negative
81, 45, 68, 154, 69, 22, 151, 45, 19, 147, 186, 335, 186, 88, 1, 10, 180, 185, negative
103, 53, 106, 172, 55, 10, 212, 32, 24, 168, 220, 660, 223, 73, 16, 24, 187, 197, negative
96, 50, 94, 215, 67, 9, 187, 35, 22, 158, 214, 525, 214, 67, 8, 6, 193, 201, negative
78, 43, 70, 147, 65, 8, 147, 46, 19, 145, 169, 319, 168, 77, 1, 12, 181, 186, negative
104, 53, 101, 199, 65, 11, 213, 31, 24, 168, 216, 667, 221, 72, 12, 12, 187, 198, negative
81, 43, 68, 148, 64, 7, 150, 45, 19, 144, 175, 330, 171, 80, 1, 2, 182, 185, negative
99, 43, 89, 195, 63, 8, 186, 35, 22, 144, 210, 521, 166, 68, 6, 13, 191, 199, negative
87, 45, 82, 164, 60, 8, 156, 42, 19, 144, 181, 366, 174, 70, 2, 2, 190, 196, negative
94, 45, 89, 213, 71, 5, 186, 35, 22, 145, 204, 533, 182, 71, 4, 13, 195, 198, negative
84, 45, 68, 148, 64, 6, 146, 46, 19, 142, 168, 317, 180, 75, 5, 1, 183, 187, negative
108, 56, 103, 234, 73, 10, 221, 30, 25, 174, 232, 718, 214, 73, 8, 3, 187, 197, negative
93, 47, 83, 165, 60, 7, 167, 40, 20, 147, 197, 417, 201, 73, 12, 4, 187, 192, negative
95, 43, 76, 142, 57, 10, 151, 44, 19, 149, 173, 339, 159, 71, 2, 23, 187, 200, positive
96, 41, 69, 153, 56, 7, 141, 47, 18, 141, 162, 297, 169, 61, 11, 8, 202, 209, negative
98, 48, 101, 195, 61, 11, 207, 31, 23, 152, 227, 650, 193, 71, 5, 7, 189, 196, negative
93, 34, 66, 140, 56, 7, 130, 51, 18, 120, 151, 251, 114, 62, 5, 29, 201, 207, negative
101, 46, 105, 195, 61, 10, 198, 34, 23, 150, 213, 578, 195, 66, 7, 38, 192, 205, negative
104, 52, 96, 188, 59, 9, 188, 35, 22, 161, 206, 530, 205, 67, 11, 8, 193, 200, negative
105, 53, 108, 206, 63, 12, 222, 31, 25, 168, 226, 712, 201, 71, 15, 35, 189, 203, negative
92, 45, 74, 187, 74, 7, 157, 41, 19, 143, 179, 375, 183, 70, 8, 6, 195, 201, negative
106, 48, 107, 202, 61, 10, 207, 32, 24, 153, 227, 635, 200, 70, 5, 28, 190, 203, negative
91, 42, 66, 142, 58, 9, 134, 50, 18, 142, 163, 268, 164, 69, 6, 5, 191, 197, positive
89, 46, 77, 125, 52, 10, 156, 44, 20, 160, 171, 351, 177, 78, 7, 17, 183, 191, positive
94, 45, 85, 160, 63, 10, 158, 43, 20, 157, 174, 367, 162, 68, 1, 6, 189, 199, positive
92, 38, 74, 178, 62, 9, 161, 41, 20, 135, 181, 388, 132, 63, 7, 29, 197, 206, negative
89, 47, 85, 147, 58, 10, 153, 44, 19, 151, 175, 349, 186, 74, 13, 7, 186, 197, positive
89, 40, 79, 154, 64, 9, 144, 46, 19, 139, 168, 311, 149, 71, 8, 7, 188, 197, positive
111, 53, 108, 211, 61, 11, 207, 32, 23, 167, 217, 636, 216, 64, 21, 2, 196, 205, negative
85, 42, 66, 120, 53, 7, 149, 46, 19, 143, 169, 321, 160, 85, 10, 7, 180, 182, negative
97, 45, 76, 175, 60, 9, 157, 42, 20, 149, 180, 370, 169, 63, 16, 12, 198, 206, negative
89, 41, 76, 183, 73, 7, 157, 42, 19, 136, 181, 373, 153, 74, 8, 12, 191, 195, negative
87, 46, 71, 159, 66, 6, 151, 44, 19, 146, 175, 343, 189, 73, 2, 0, 186, 190, negative
86, 40, 63, 135, 56, 5, 133, 50, 18, 135, 152, 262, 166, 70, 9, 2, 187, 191, negative
91, 36, 77, 157, 56, 7, 155, 42, 19, 126, 177, 361, 123, 65, 8, 15, 195, 201, negative
90, 43, 72, 172, 59, 8, 154, 42, 19, 144, 174, 360, 158, 61, 15, 9, 203, 209, negative
90, 48, 77, 132, 56, 10, 157, 44, 20, 164, 169, 354, 187, 78, 1, 3, 182, 191, positive
86, 42, 64, 122, 54, 6, 148, 46, 19, 143, 170, 319, 171, 87, 1, 3, 179, 182, negative
110, 56, 103, 223, 64, 5, 250, 26, 27, 169, 280, 928, 239, 85, 4, 6, 184, 183, negative
93, 43, 85, 133, 54, 10, 155, 44, 19, 153, 174, 351, 165, 75, 12, 13, 184, 196, positive
82, 44, 72, 150, 64, 7, 154, 44, 19, 144, 181, 350, 177, 80, 0, 16, 183, 187, negative
94, 43, 82, 136, 54, 10, 155, 43, 19, 149, 176, 359, 161, 74, 1, 6, 186, 197, positive
89, 35, 52, 121, 57, 4, 122, 55, 17, 125, 139, 220, 128, 82, 5, 13, 181, 184, negative
105, 54, 96, 185, 57, 10, 219, 30, 25, 170, 231, 706, 217, 75, 5, 12, 187, 195, negative
89, 40, 58, 137, 58, 7, 122, 54, 17, 140, 146, 225, 150, 63, 7, 4, 199, 206, positive
93, 45, 81, 177, 64, 7, 160, 41, 20, 147, 180, 383, 188, 70, 11, 11, 192, 199, negative
97, 44, 96, 195, 63, 9, 185, 36, 22, 144, 202, 512, 165, 66, 4, 8, 191, 199, negative
91, 42, 81, 193, 69, 5, 169, 38, 20, 137, 184, 434, 156, 68, 3, 23, 198, 204, negative
86, 40, 66, 138, 59, 4, 137, 49, 18, 133, 162, 279, 151, 74, 6, 14, 186, 190, negative
105, 46, 100, 195, 61, 9, 193, 34, 22, 150, 207, 557, 161, 65, 5, 9, 194, 202, negative
104, 52, 100, 191, 59, 9, 197, 33, 23, 158, 218, 583, 234, 70, 10, 10, 191, 198, negative
108, 53, 103, 202, 64, 10, 220, 30, 25, 168, 224, 711, 214, 73, 11, 10, 188, 199, negative
83, 40, 59, 116, 53, 7, 132, 52, 18, 137, 145, 250, 157, 84, 12, 6, 177, 183, positive
101, 51, 105, 212, 68, 10, 209, 32, 24, 162, 222, 653, 224, 73, 5, 23, 186, 195, negative
103, 54, 91, 179, 57, 11, 220, 31, 25, 170, 220, 707, 198, 72, 1, 32, 186, 198, negative
92, 36, 78, 165, 57, 8, 153, 43, 19, 128, 169, 349, 124, 60, 4, 19, 203, 211, negative
93, 47, 85, 161, 65, 12, 155, 43, 19, 157, 179, 354, 178, 76, 2, 9, 184, 196, positive
95, 44, 84, 158, 62, 10, 145, 46, 19, 148, 163, 312, 166, 64, 10, 6, 199, 206, positive
107, 55, 103, 213, 68, 11, 219, 30, 25, 172, 221, 709, 216, 70, 10, 7, 187, 197, negative
87, 42, 70, 139, 59, 7, 149, 45, 19, 142, 177, 327, 156, 78, 6, 9, 185, 188, negative
85, 45, 65, 128, 56, 8, 151, 45, 19, 145, 170, 332, 186, 81, 1, 10, 179, 184, negative
83, 46, 68, 139, 59, 6, 150, 44, 19, 146, 172, 336, 183, 74, 5, 3, 185, 191, negative
91, 43, 88, 157, 61, 9, 149, 45, 19, 157, 165, 326, 140, 64, 1, 26, 197, 207, positive
84, 43, 70, 123, 54, 8, 151, 45, 19, 146, 173, 332, 176, 81, 1, 12, 181, 184, negative
99, 53, 105, 219, 66, 11, 204, 32, 23, 165, 221, 623, 224, 68, 0, 6, 191, 201, negative
94, 37, 72, 193, 72, 6, 158, 41, 19, 133, 184, 385, 127, 70, 0, 14, 200, 204, negative
94, 45, 81, 166, 67, 9, 145, 46, 19, 147, 164, 313, 179, 66, 11, 14, 194, 202, positive
97, 55, 104, 219, 71, 9, 211, 32, 24, 171, 222, 658, 223, 74, 1, 24, 186, 196, negative
110, 58, 106, 180, 51, 6, 261, 26, 28, 171, 278, 998, 257, 83, 9, 13, 181, 182, negative
96, 40, 100, 178, 58, 8, 181, 37, 21, 134, 205, 486, 160, 68, 5, 34, 192, 202, negative
97, 53, 105, 225, 71, 12, 221, 30, 25, 167, 226, 713, 202, 70, 3, 20, 186, 200, negative
90, 46, 75, 133, 55, 11, 160, 43, 20, 161, 173, 369, 171, 77, 0, 16, 182, 192, positive
81, 43, 68, 139, 62, 7, 149, 46, 19, 145, 172, 323, 171, 83, 1, 14, 180, 184, negative
107, 52, 103, 186, 57, 11, 214, 31, 24, 162, 217, 676, 189, 66, 6, 5, 189, 198, negative
96, 46, 88, 174, 68, 10, 155, 43, 19, 148, 173, 354, 182, 69, 14, 15, 194, 202, positive
80, 36, 69, 127, 56, 7, 128, 53, 18, 124, 147, 240, 133, 70, 2, 21, 183, 191, negative
86, 39, 84, 149, 57, 8, 156, 43, 20, 133, 185, 358, 157, 74, 0, 23, 183, 190, negative
92, 43, 69, 158, 56, 7, 149, 44, 19, 143, 170, 333, 168, 63, 14, 18, 198, 203, negative
