@relation A1_2s
@attribute f1 real [0.19, 16]
@attribute f2 real [0, 12]
@attribute class {red, green}
@inputs f1, f2
@outputs class
@data
5.3,5.5,green
5.8,4.7,green
4.2,5,green
5.9,5.6,green
4.5,4.3,green
4.2,7,green
1,0.8,red
1,0.6,red
0.19,0.28,red
0.38,0.8,red
1.7,1.6,red
7.9,0,green
11,0,green
7.9,1,green
8.6,1,green
9,2,green
10.3,2,green
11,2,green
3,3,green
3.4,5,green
6.8,4,green
9,1.9,green
5.6,3,green
8,12,green
16,8,green
7.196047855262202,6.835194209501903,red
6.101133075288422,7.022216596743107,red
6.511849380904008,6.929314044170251,red
6.829838449152572,6.765576208110514,red
6.647600339314645,7.044989215446408,red
6.699147645418143,7.282912849207448,red
7.4985618844128625,7.191881405166586,red
12.490017776754911,8.151584384414011,green
9.347102849354565,5.001036623927684,green
9.514065009548284,7.217986994799127,green
10.26329196809764,11.80083356161072,green
11.96292001541377,2.83394182576517,green
14.64616348716433,5.340380979552538,green
14.697926213249794,3.351419830286039,green
10.325066332800645,9.048893508794063,green
13.093987734537954,11.704743501786888,green
9.049064872577029,2.504116823596157,green
8.601532546997976,5.281433550919154,green
14.597364011623235,3.802910053849196,green
13.048656586077154,3.402826554666501,green
8.680927767192577,9.766231842748033,green
8.080969782352305,2.1782013591188125,green
13.568497343407925,3.9679373760257945,green
11.247447566709152,10.090881980258068,green
12.597489086385643,11.823943077148794,green
8.649429004174669,11.736681432639315,green
14.625497411756896,6.722135145223626,green
12.935473500495018,6.943373948748961,green
13.00228273815845,9.134788464256244,green
9.977371753097316,9.570431053365159,green
9.01192889337438,5.911468926614886,green
8.114814930206414,10.354162049609121,green
12.518190142498293,2.7689990625832532,green
8.811566894527829,11.328708330937012,green
11.395764141461775,3.5699229126247705,green
10.655658439487333,10.314727811816628,green
8.112487473950882,5.596410395657392,green
12.01588311125839,9.711545249581828,green
8.288985565872506,5.036515838181052,green
13.962177048515288,8.56677231907029,green
8.450819547725732,8.92141523442446,green
9.653903474931703,6.779207363300989,green
10.507825724186496,2.876764423794235,green
9.161294799899279,7.678373710693001,green
14.894117118751598,8.246942488590431,green
12.991022044351023,6.833892268293311,green
8.482437739479938,4.151722668642366,green
10.847220007590892,11.951036705687876,green
8.375797939838455,10.873873910453842,green
13.881249350311064,2.7753164361548484,green
13.708622170347981,8.033157138541196,green
14.455775697061195,10.111431599386316,green
8.928661780950911,9.724372398053811,green
14.190714284541144,9.692252592031974,green
11.645549310070233,9.121283797646235,green
10.303045359762823,2.0781238082310223,green
12.381828238547358,3.7660016861119554,green
12.414558650653516,3.4118584280987956,green
13.589850992154368,5.339510720025364,green
8.438222099536038,7.721666937754816,green
9.14047229143168,5.875187564819927,green
12.912735996864626,9.094800866611894,green
10.019340494480359,5.368485289504982,green
10.207649150306894,9.983096583264459,red
10.62789976770678,10.504271730430979,red
