@relation distaa3a3Keel
@attribute 3.61646249686014 real [0.032626572772507245, 15.99550170609938]
@attribute 11.61879710931984 real [0.01308043209846943, 15.989311852037073]
@attribute red {red, green}
@inputs 3.61646249686014, 11.61879710931984
@outputs red
@data
3.7655555310413753, 11.77613797867426, red
3.749039753171997, 10.586152192684152, red
3.710666858085619, 11.256646472711903, red
12.23450731428533, 7.688566476138035, red
15.68906085194214, 7.9000955492881015, green
5.663367067425634, 12.763803621299084, green
4.157450989443847, 14.215588082668905, green
2.9448433478529523, 9.113729130849546, green
15.893710919724919, 8.903879185324673, green
15.740818084624445, 15.418723510291652, green
2.9003671200388244, 15.65050628908253, green
0.8306181281087657, 4.975571030446078, green
14.240172001499742, 4.541543185366578, green
14.960506587499063, 13.946781933417864, green
4.85894796624153, 3.9232713201705067, green
15.989966884909022, 10.032248982730405, green
1.7157837452179976, 10.815633003381173, green
0.1464020045736163, 1.9695072954240285, green
10.15618575053701, 6.2645487062378375, green
6.957692476507017, 2.6681941075849043, green
1.3421863467829827, 1.914413654084191, green
13.900294199828938, 2.5065691157418595, green
6.051515764774992, 3.412613961420771, green
6.389630807792093, 7.490189317849522, green
10.763480761541738, 14.588732869995644, green
9.083754443458458, 4.306811043585096, green
13.499271410767086, 2.53095771833004, green
5.193494959746042, 2.0122865152349583, green
0.9372689637110252, 5.9674849816737705, green
10.060740841023788, 7.291230340735101, green
1.107749913533853, 11.692873472150628, green
5.697950357513637, 8.394851536323566, green
1.5222771530745103, 10.109925545469538, green
1.2524757607681973, 1.2251590904680008, green
11.656745251466885, 2.5104302618200744, green
3.47485539772887, 2.885430546664132, green
13.532445196708816, 4.545498274277026, green
15.30524294446698, 0.13220122392034916, green
2.913704658424143, 8.512853830021049, green
14.20562175021358, 7.428500061157573, green
10.345671987678411, 6.358725442509165, green
12.015355269997393, 4.037119364254867, green
9.24474141585625, 3.982549263101614, green
9.532322185621599, 5.657869881420623, green
11.13008680906483, 15.346759383331243, green
10.515714593115419, 4.022056556121701, green
15.443702140486092, 3.0802290128297667, green
7.2572725075582625, 10.070197245175407, green
15.2763951418275, 13.154296853873566, green
6.904457454554086, 11.152937407413816, green
7.31601393990276, 7.858263932916394, green
11.109897129696105, 5.389150049915287, green
13.241570551766465, 2.121990171269813, green
15.839325906110465, 10.257343926839882, green
9.165694126780215, 9.696164618221848, green
10.338664846326475, 4.443429390679739, green
11.474710548736637, 8.86349505945761, green
15.494107982602472, 4.066232780486885, green
2.97752880645632, 14.84248679882614, green
15.475640792939666, 7.8303442329920685, green
2.0917488042438066, 5.842938014657287, green
6.526950997713621, 10.391192479523523, green
2.13191259021556, 4.237522618585254, green
11.345815704599413, 7.109225399901925, green
6.24803222043513, 7.668029564662136, green
0.18240263121668043, 11.019429466211223, green
6.847437922036201, 12.843439894300317, green
1.6757020077647056, 5.412964741413493, green
11.569732935526478, 2.915709440661459, green
8.525810073968133, 10.688313833520851, green
14.264872376981243, 8.313124216386532, green
15.890412598739374, 14.87346541298529, green
15.230405287055843, 5.032401933646268, green
3.8781199224262295, 8.940265507453102, green
0.8607151514686944, 9.850424033754374, green
3.8695175863114812, 10.88656219478334, green
13.337033893716338, 8.185485677163285, green
15.965776736468419, 9.265882532427693, green
6.568992445273095, 8.596708123404904, green
3.9716463922959537, 8.083189760145675, green
7.108593489232517, 15.337539275211128, green
13.643590348894095, 7.333282053814864, green
0.7188951494578593, 4.643736444898121, green
12.12796630812401, 14.538496361179549, green
2.0117016162732995, 0.3914247201158858, green
8.806245328908854, 9.041782798633829, green
1.4302612156941183, 15.455714567074132, green
0.981100733543169, 10.618272949167194, green
1.9891639558448322, 1.317294097042156, green
0.4378755534179426, 1.6766642529329268, green
3.1089568996033847, 4.262591325753146, green
10.095479598094165, 13.230125514385497, green
14.087185393984786, 15.41380786254956, green
3.246455405068044, 1.9785949884066731, green
7.604056742852272, 5.666265029277136, green
15.458876390776293, 0.97106675464841, green
9.70146424571925, 12.61681648831137, green
5.1522366172179, 9.855800588682765, green
11.006207246980118, 10.455480392682855, green
2.855143450826379, 12.367265540550049, green
