@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, positive
0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, positive
0.41, 0.57, 0.48, 0.5, 0.39, 0.21, 0.32, positive
0.3, 0.37, 0.48, 0.5, 0.59, 0.41, 0.49, positive
0.23, 0.33, 0.48, 0.5, 0.43, 0.33, 0.43, positive
0.47, 0.29, 0.48, 0.5, 0.51, 0.33, 0.43, positive
0.29, 0.47, 0.48, 0.5, 0.41, 0.23, 0.34, positive
0.4, 0.46, 0.48, 0.5, 0.52, 0.49, 0.56, positive
0.53, 0.42, 0.48, 0.5, 0.16, 0.29, 0.39, positive
0.4, 0.42, 0.48, 0.5, 0.37, 0.27, 0.27, positive
0.33, 0.47, 0.48, 0.5, 0.53, 0.18, 0.29, positive
0.47, 0.28, 0.48, 0.5, 0.56, 0.2, 0.25, positive
0.25, 0.51, 0.48, 0.5, 0.37, 0.42, 0.5, positive
0.29, 0.28, 0.48, 0.5, 0.5, 0.42, 0.5, positive
0.37, 0.44, 0.48, 0.5, 0.42, 0.39, 0.47, positive
0.06, 0.61, 0.48, 0.5, 0.49, 0.92, 0.37, negative
0.12, 0.67, 0.48, 0.5, 0.74, 0.58, 0.63, negative
0.72, 0.46, 0.48, 0.5, 0.51, 0.66, 0.7, negative
0.7, 0.4, 0.48, 0.5, 0.56, 0.86, 0.83, negative
0.16, 0.51, 0.48, 0.5, 0.33, 0.39, 0.48, negative
0.48, 0.49, 0.48, 0.5, 0.52, 0.77, 0.71, negative
0.69, 0.39, 0.48, 0.5, 0.57, 0.76, 0.79, negative
