@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, positive
0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, positive
0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, positive
0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, positive
0.3, 0.16, 0.48, 0.5, 0.56, 0.11, 0.23, positive
0.17, 0.38, 0.48, 0.5, 0.45, 0.42, 0.5, positive
0.51, 0.37, 0.48, 0.5, 0.35, 0.36, 0.45, positive
0.52, 0.57, 0.48, 0.5, 0.42, 0.47, 0.54, positive
0.25, 0.37, 0.48, 0.5, 0.43, 0.26, 0.36, positive
0.24, 0.43, 0.48, 0.5, 0.37, 0.28, 0.38, positive
0.34, 0.55, 0.48, 0.5, 0.58, 0.31, 0.41, positive
0.32, 0.33, 0.48, 0.5, 0.6, 0.06, 0.2, positive
0.38, 0.44, 0.48, 0.5, 0.43, 0.2, 0.31, positive
0.34, 0.42, 0.48, 0.5, 0.41, 0.34, 0.43, positive
0.27, 0.35, 0.48, 0.5, 0.51, 0.77, 0.79, negative
0.5, 0.37, 0.48, 0.5, 0.66, 0.64, 0.69, negative
0.66, 0.53, 0.48, 0.5, 0.59, 0.66, 0.66, negative
0.6, 0.5, 1.0, 0.5, 0.54, 0.77, 0.8, negative
0.33, 0.37, 0.48, 0.5, 0.46, 0.65, 0.69, negative
0.37, 0.47, 0.48, 0.5, 0.39, 0.76, 0.79, negative
0.68, 0.51, 0.48, 0.5, 0.71, 0.75, 0.78, negative
0.71, 0.52, 0.48, 0.5, 0.64, 1.0, 0.99, negative
