@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, positive
0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, positive
0.34, 0.45, 0.48, 0.5, 0.38, 0.24, 0.35, positive
0.21, 0.51, 0.48, 0.5, 0.5, 0.32, 0.41, positive
0.43, 0.4, 0.48, 0.5, 0.39, 0.28, 0.39, positive
0.47, 0.47, 0.48, 0.5, 0.22, 0.16, 0.26, positive
0.4, 0.35, 0.48, 0.5, 0.45, 0.33, 0.42, positive
0.25, 0.37, 0.48, 0.5, 0.41, 0.33, 0.42, positive
0.44, 0.42, 0.48, 0.5, 0.42, 0.25, 0.2, positive
0.48, 0.42, 0.48, 0.5, 0.45, 0.25, 0.35, positive
0.5, 0.49, 0.48, 0.5, 0.49, 0.46, 0.53, positive
0.65, 0.55, 0.48, 0.5, 0.34, 0.37, 0.28, positive
0.38, 0.4, 0.48, 0.5, 0.63, 0.25, 0.35, positive
0.34, 0.35, 0.48, 0.5, 0.51, 0.49, 0.56, positive
0.43, 0.4, 0.48, 0.5, 0.58, 0.75, 0.78, negative
0.29, 0.47, 0.48, 0.5, 0.71, 0.65, 0.69, negative
0.5, 0.66, 0.48, 0.5, 0.31, 0.92, 0.92, negative
0.64, 0.58, 0.48, 0.5, 0.48, 0.78, 0.73, negative
0.33, 0.45, 0.48, 0.5, 0.45, 0.88, 0.89, negative
0.45, 0.4, 0.48, 0.5, 0.61, 0.74, 0.77, negative
0.31, 0.44, 0.48, 0.5, 0.5, 0.79, 0.82, negative
0.46, 0.59, 0.48, 0.5, 0.36, 0.76, 0.23, negative
