@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, positive
0.51, 0.54, 0.48, 0.5, 0.41, 0.34, 0.43, positive
0.29, 0.52, 0.48, 0.5, 0.42, 0.29, 0.39, positive
0.33, 0.45, 0.48, 0.5, 0.52, 0.32, 0.41, positive
0.29, 0.3, 0.48, 0.5, 0.45, 0.03, 0.17, positive
0.35, 0.48, 0.48, 0.5, 0.56, 0.4, 0.48, positive
0.44, 0.51, 0.48, 0.5, 0.47, 0.26, 0.36, positive
0.44, 0.28, 0.48, 0.5, 0.43, 0.27, 0.37, positive
0.51, 0.46, 0.48, 0.5, 0.58, 0.31, 0.41, positive
0.43, 0.32, 0.48, 0.5, 0.33, 0.45, 0.52, positive
0.51, 0.49, 0.48, 0.5, 0.53, 0.14, 0.26, positive
0.25, 0.26, 0.48, 0.5, 0.39, 0.32, 0.42, positive
0.36, 0.42, 0.48, 0.5, 0.53, 0.32, 0.41, positive
0.22, 0.34, 0.48, 0.5, 0.42, 0.29, 0.39, positive
0.23, 0.48, 0.48, 0.5, 0.59, 0.88, 0.89, negative
0.46, 0.61, 0.48, 0.5, 0.48, 0.86, 0.87, negative
0.4, 0.5, 0.48, 0.5, 0.65, 0.82, 0.84, negative
0.2, 0.46, 0.48, 0.5, 0.57, 0.78, 0.81, negative
0.41, 0.51, 0.48, 0.5, 0.53, 0.75, 0.78, negative
0.58, 0.34, 0.48, 0.5, 0.56, 0.87, 0.81, negative
0.59, 0.56, 0.48, 0.5, 0.55, 0.8, 0.82, negative
0.11, 0.5, 0.48, 0.5, 0.58, 0.72, 0.68, negative
