@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, positive
0.25, 0.4, 0.48, 0.5, 0.47, 0.33, 0.42, positive
0.56, 0.51, 0.48, 0.5, 0.34, 0.37, 0.46, positive
0.65, 0.47, 0.48, 0.5, 0.59, 0.3, 0.4, positive
0.4, 0.5, 0.48, 0.5, 0.45, 0.39, 0.47, positive
0.44, 0.35, 0.48, 0.5, 0.55, 0.55, 0.61, positive
0.42, 0.38, 0.48, 0.5, 0.54, 0.34, 0.43, positive
0.52, 0.36, 0.48, 0.5, 0.41, 0.28, 0.38, positive
0.18, 0.3, 0.48, 0.5, 0.46, 0.24, 0.35, positive
0.29, 0.41, 0.48, 0.5, 0.48, 0.38, 0.46, positive
0.34, 0.28, 0.48, 0.5, 0.41, 0.35, 0.44, positive
0.34, 0.46, 0.48, 0.5, 0.52, 0.35, 0.44, positive
0.0, 0.38, 0.48, 0.5, 0.42, 0.48, 0.55, positive
0.17, 0.52, 0.48, 0.5, 0.49, 0.37, 0.46, positive
0.34, 0.49, 0.48, 0.5, 0.58, 0.85, 0.8, negative
0.47, 0.55, 0.48, 0.5, 0.58, 0.71, 0.75, negative
0.6, 0.61, 0.48, 0.5, 0.54, 0.67, 0.71, negative
0.89, 0.55, 0.48, 0.5, 0.51, 0.72, 0.76, negative
0.12, 0.43, 0.48, 0.5, 0.63, 0.7, 0.74, negative
0.61, 0.52, 0.48, 0.5, 0.54, 0.67, 0.52, negative
0.34, 0.67, 0.48, 0.5, 0.52, 0.76, 0.79, negative
0.0, 0.51, 0.48, 0.5, 0.35, 0.67, 0.44, negative
