@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, positive
0.22, 0.43, 0.48, 0.5, 0.48, 0.16, 0.28, positive
0.23, 0.4, 0.48, 0.5, 0.39, 0.28, 0.38, positive
0.4, 0.29, 0.48, 0.5, 0.42, 0.35, 0.44, positive
0.22, 0.36, 0.48, 0.5, 0.35, 0.39, 0.47, positive
0.42, 0.3, 0.48, 0.5, 0.48, 0.26, 0.36, positive
0.41, 0.43, 0.48, 0.5, 0.45, 0.31, 0.41, positive
0.36, 0.56, 0.48, 0.5, 0.43, 0.45, 0.53, positive
0.31, 0.47, 0.48, 0.5, 0.29, 0.28, 0.39, positive
0.64, 0.76, 0.48, 0.5, 0.45, 0.35, 0.38, positive
0.38, 0.3, 0.48, 0.5, 0.43, 0.29, 0.39, positive
0.17, 0.39, 0.48, 0.5, 0.53, 0.3, 0.39, positive
0.26, 0.4, 0.48, 0.5, 0.36, 0.26, 0.37, positive
0.27, 0.42, 0.48, 0.5, 0.37, 0.38, 0.43, positive
0.16, 0.43, 0.48, 0.5, 0.54, 0.27, 0.37, positive
0.84, 0.44, 0.48, 0.5, 0.48, 0.71, 0.74, negative
0.63, 0.54, 0.48, 0.5, 0.65, 0.79, 0.81, negative
0.58, 0.55, 0.48, 0.5, 0.57, 0.7, 0.74, negative
0.31, 0.36, 0.48, 0.5, 0.58, 0.94, 0.94, negative
0.52, 0.54, 0.48, 0.5, 0.62, 0.76, 0.79, negative
0.61, 0.47, 0.48, 0.5, 0.0, 0.8, 0.32, negative
0.63, 0.75, 0.48, 0.5, 0.64, 0.73, 0.66, negative
