@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, positive
0.4, 0.45, 0.48, 0.5, 0.38, 0.22, 0.0, positive
0.31, 0.23, 0.48, 0.5, 0.73, 0.05, 0.14, positive
0.36, 0.39, 0.48, 0.5, 0.48, 0.22, 0.23, positive
0.28, 0.38, 0.48, 0.5, 0.5, 0.33, 0.42, positive
0.23, 0.58, 0.48, 0.5, 0.37, 0.53, 0.59, positive
0.44, 0.34, 0.48, 0.5, 0.3, 0.33, 0.43, positive
0.36, 0.41, 0.48, 0.5, 0.48, 0.47, 0.54, positive
0.26, 0.26, 0.48, 0.5, 0.34, 0.25, 0.35, positive
0.41, 0.48, 0.48, 0.5, 0.51, 0.44, 0.51, positive
0.35, 0.37, 0.48, 0.5, 0.3, 0.34, 0.43, positive
0.38, 0.26, 0.48, 0.5, 0.54, 0.16, 0.28, positive
0.04, 0.31, 0.48, 0.5, 0.41, 0.29, 0.39, positive
0.27, 0.3, 0.48, 0.5, 0.71, 0.28, 0.39, positive
0.52, 0.39, 0.48, 0.5, 0.65, 0.71, 0.73, negative
0.73, 0.36, 0.48, 0.5, 0.53, 0.91, 0.92, negative
0.48, 0.45, 0.48, 0.5, 0.6, 0.78, 0.8, negative
0.63, 0.5, 0.48, 0.5, 0.59, 0.85, 0.86, negative
0.5, 0.57, 0.48, 0.5, 0.71, 0.61, 0.66, negative
0.6, 0.46, 0.48, 0.5, 0.45, 0.81, 0.83, negative
0.39, 0.41, 0.48, 0.5, 0.52, 0.72, 0.75, negative
0.1, 0.49, 0.48, 0.5, 0.41, 0.67, 0.21, negative
