@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, positive
0.53, 0.38, 0.48, 0.5, 0.44, 0.26, 0.36, positive
0.34, 0.33, 0.48, 0.5, 0.38, 0.35, 0.44, positive
0.24, 0.35, 0.48, 0.5, 0.31, 0.19, 0.31, positive
0.38, 0.46, 0.48, 0.5, 0.48, 0.22, 0.29, positive
0.44, 0.56, 0.48, 0.5, 0.5, 0.46, 0.54, positive
0.57, 0.54, 0.48, 0.5, 0.37, 0.28, 0.33, positive
0.49, 0.43, 0.48, 0.5, 0.49, 0.3, 0.4, positive
0.41, 0.51, 0.48, 0.5, 0.58, 0.2, 0.31, positive
0.24, 0.41, 0.48, 0.5, 0.49, 0.23, 0.34, positive
0.34, 0.51, 0.48, 0.5, 0.44, 0.37, 0.46, positive
0.23, 0.34, 0.48, 0.5, 0.43, 0.26, 0.37, positive
0.3, 0.44, 0.48, 0.5, 0.49, 0.22, 0.33, positive
0.4, 0.41, 0.48, 0.5, 0.55, 0.22, 0.33, positive
0.44, 0.35, 0.48, 0.5, 0.44, 0.52, 0.59, positive
0.63, 0.47, 0.48, 0.5, 0.51, 0.82, 0.84, negative
0.54, 0.57, 0.48, 0.5, 0.56, 0.81, 0.83, negative
0.49, 0.42, 0.48, 0.5, 0.53, 0.79, 0.81, negative
0.83, 0.37, 0.48, 0.5, 0.61, 0.71, 0.74, negative
0.34, 0.51, 0.48, 0.5, 0.67, 0.9, 0.9, negative
0.36, 0.45, 0.48, 0.5, 0.38, 0.79, 0.17, negative
0.3, 0.51, 0.48, 0.5, 0.42, 0.61, 0.34, negative
