@relation .a/vehicle3/vehicle3
@attribute Compactness integer [73, 119]
@attribute Circularity integer [33, 59]
@attribute Distance_circularity integer [40, 112]
@attribute Radius_ratio integer [104, 333]
@attribute Praxis_aspect_ratio integer [47, 138]
@attribute Max_length_aspect_ratio integer [2, 55]
@attribute Scatter_ratio integer [112, 265]
@attribute Elongatedness integer [26, 61]
@attribute Praxis_rectangular integer [17, 29]
@attribute Length_rectangular integer [118, 188]
@attribute Major_variance integer [130, 320]
@attribute Minor_variance integer [184, 1018]
@attribute Gyration_radius integer [109, 268]
@attribute Major_skewness integer [59, 135]
@attribute Minor_skewness integer [0, 22]
@attribute Minor_kurtosis integer [0, 41]
@attribute Major_kurtosis integer [176, 206]
@attribute Hollows_ratio integer [181, 211]
@attribute Class {positive, negative}
@inputs Compactness, Circularity, Distance_circularity, Radius_ratio, Praxis_aspect_ratio, Max_length_aspect_ratio, Scatter_ratio, Elongatedness, Praxis_rectangular, Length_rectangular, Major_variance, Minor_variance, Gyration_radius, Major_skewness, Minor_skewness, Minor_kurtosis, Major_kurtosis, Hollows_ratio
@outputs Class
@data
90, 34, 66, 136, 55, 6, 123, 54, 17, 118, 148, 224, 118, 65, 5, 26, 196, 202, negative
101, 56, 100, 215, 69, 10, 208, 32, 24, 169, 227, 651, 223, 74, 6, 5, 186, 193, positive
84, 37, 53, 121, 59, 5, 123, 55, 17, 125, 141, 221, 133, 82, 7, 1, 179, 183, negative
77, 38, 63, 135, 59, 5, 130, 52, 18, 130, 145, 247, 139, 79, 13, 21, 183, 187, positive
96, 40, 70, 120, 50, 8, 137, 50, 18, 141, 162, 269, 139, 80, 10, 13, 183, 183, negative
89, 41, 75, 143, 56, 7, 146, 46, 19, 137, 170, 317, 156, 76, 18, 5, 184, 188, positive
98, 55, 101, 219, 69, 11, 225, 30, 25, 178, 231, 748, 216, 74, 6, 14, 187, 195, positive
92, 39, 91, 191, 62, 8, 176, 37, 21, 137, 196, 466, 151, 67, 3, 23, 192, 200, positive
89, 44, 68, 113, 50, 7, 150, 45, 19, 147, 171, 328, 189, 88, 6, 5, 179, 182, negative
93, 43, 85, 133, 54, 10, 155, 44, 19, 153, 174, 351, 165, 75, 12, 13, 184, 196, negative
85, 43, 64, 128, 56, 8, 150, 46, 19, 144, 168, 324, 173, 82, 9, 14, 180, 184, negative
103, 54, 107, 218, 64, 12, 222, 30, 25, 174, 221, 728, 199, 67, 0, 18, 189, 200, positive
90, 43, 72, 172, 59, 8, 154, 42, 19, 144, 174, 360, 158, 61, 15, 9, 203, 209, negative
89, 40, 79, 154, 64, 9, 144, 46, 19, 139, 168, 311, 149, 71, 8, 7, 188, 197, negative
98, 54, 104, 186, 59, 10, 213, 32, 24, 172, 223, 665, 217, 73, 1, 26, 186, 195, positive
82, 45, 68, 139, 64, 6, 147, 46, 19, 143, 169, 320, 184, 80, 0, 1, 181, 184, negative
98, 38, 70, 125, 52, 8, 130, 53, 18, 139, 157, 243, 132, 74, 0, 13, 186, 185, negative
90, 36, 78, 179, 64, 8, 157, 42, 19, 126, 182, 367, 142, 66, 1, 20, 192, 198, positive
92, 46, 79, 176, 64, 8, 162, 41, 20, 149, 183, 396, 178, 67, 2, 10, 191, 198, positive
94, 39, 89, 194, 62, 9, 172, 38, 21, 135, 191, 444, 121, 63, 4, 23, 201, 209, positive
84, 44, 77, 150, 59, 5, 152, 44, 19, 143, 175, 344, 177, 77, 8, 2, 183, 187, negative
104, 57, 103, 216, 69, 11, 219, 30, 25, 176, 228, 708, 219, 73, 4, 3, 186, 196, positive
88, 44, 85, 139, 56, 11, 157, 43, 20, 155, 176, 363, 175, 76, 5, 16, 184, 195, negative
103, 55, 103, 211, 65, 11, 212, 31, 24, 165, 229, 673, 249, 72, 5, 16, 188, 196, positive
83, 46, 73, 137, 59, 6, 148, 45, 19, 146, 167, 327, 183, 75, 8, 0, 185, 191, negative
109, 54, 109, 225, 68, 11, 214, 31, 24, 169, 226, 675, 212, 68, 11, 32, 189, 202, negative
93, 45, 83, 142, 56, 10, 157, 43, 20, 155, 180, 364, 188, 75, 1, 21, 184, 197, negative
93, 43, 88, 170, 66, 9, 150, 45, 19, 147, 164, 334, 143, 65, 2, 17, 196, 206, negative
109, 54, 103, 205, 63, 11, 222, 30, 25, 175, 229, 720, 213, 71, 6, 14, 187, 200, negative
86, 40, 75, 146, 62, 6, 140, 48, 18, 135, 158, 290, 162, 72, 3, 21, 183, 190, positive
91, 45, 76, 171, 69, 7, 150, 44, 19, 144, 170, 340, 179, 69, 12, 1, 195, 201, negative
87, 45, 77, 153, 59, 7, 154, 44, 19, 145, 181, 350, 172, 75, 15, 14, 184, 189, positive
87, 37, 60, 132, 57, 6, 128, 52, 18, 129, 154, 243, 132, 71, 1, 14, 186, 192, negative
88, 44, 71, 145, 56, 8, 142, 48, 19, 143, 159, 296, 174, 68, 7, 18, 188, 197, positive
94, 49, 87, 159, 64, 10, 157, 43, 20, 158, 179, 363, 203, 75, 4, 0, 183, 194, negative
93, 44, 90, 166, 65, 10, 153, 44, 19, 156, 170, 348, 143, 66, 9, 17, 194, 203, negative
86, 47, 75, 165, 68, 6, 154, 43, 19, 146, 176, 356, 190, 74, 7, 3, 188, 194, negative
87, 42, 64, 150, 64, 10, 133, 50, 18, 141, 157, 265, 159, 67, 7, 0, 193, 201, negative
87, 43, 70, 169, 72, 7, 152, 44, 19, 145, 177, 341, 171, 76, 6, 12, 184, 187, negative
106, 53, 98, 203, 63, 11, 220, 30, 25, 167, 228, 710, 214, 71, 10, 24, 188, 197, positive
90, 47, 73, 136, 58, 11, 161, 42, 20, 153, 172, 376, 185, 77, 11, 8, 183, 191, negative
89, 46, 74, 135, 59, 9, 157, 44, 20, 158, 170, 356, 177, 79, 12, 3, 184, 191, negative
85, 40, 66, 121, 52, 4, 152, 44, 19, 133, 170, 340, 163, 87, 13, 3, 180, 183, positive
94, 45, 89, 213, 71, 5, 186, 35, 22, 145, 204, 533, 182, 71, 4, 13, 195, 198, negative
94, 43, 82, 136, 54, 10, 155, 43, 19, 149, 176, 359, 161, 74, 1, 6, 186, 197, negative
91, 39, 72, 133, 55, 7, 146, 46, 19, 132, 170, 314, 149, 77, 9, 18, 184, 189, negative
101, 55, 105, 182, 59, 10, 215, 31, 24, 177, 221, 678, 223, 74, 12, 26, 186, 195, positive
85, 40, 75, 137, 56, 7, 152, 44, 19, 134, 173, 339, 160, 76, 7, 16, 182, 187, negative
88, 48, 90, 178, 60, 8, 175, 38, 21, 152, 200, 460, 198, 68, 13, 16, 192, 199, negative
108, 56, 102, 246, 75, 6, 239, 28, 26, 167, 264, 855, 228, 82, 9, 13, 186, 185, negative
105, 55, 96, 181, 56, 9, 219, 30, 25, 175, 231, 713, 216, 74, 4, 5, 187, 194, positive
108, 54, 103, 212, 65, 11, 208, 32, 24, 162, 228, 648, 240, 71, 9, 0, 189, 197, negative
97, 35, 66, 151, 64, 8, 128, 52, 18, 129, 148, 246, 112, 66, 6, 2, 195, 200, negative
104, 54, 101, 197, 64, 11, 213, 31, 24, 172, 218, 669, 222, 74, 14, 4, 187, 196, negative
84, 44, 65, 128, 55, 8, 150, 46, 19, 148, 169, 325, 176, 82, 1, 11, 179, 183, negative
87, 42, 60, 116, 51, 6, 150, 46, 19, 141, 169, 324, 171, 85, 2, 14, 178, 182, negative
90, 48, 81, 144, 60, 9, 150, 44, 19, 156, 173, 333, 200, 75, 2, 0, 185, 195, negative
84, 36, 75, 136, 55, 6, 140, 48, 18, 125, 166, 290, 138, 71, 4, 36, 189, 195, negative
86, 40, 63, 135, 56, 5, 133, 50, 18, 135, 152, 262, 166, 70, 9, 2, 187, 191, negative
96, 46, 88, 160, 64, 9, 151, 44, 19, 148, 173, 339, 182, 70, 15, 11, 192, 199, negative
105, 53, 105, 184, 57, 11, 211, 31, 24, 168, 224, 661, 218, 71, 0, 15, 186, 197, negative
88, 35, 60, 143, 59, 7, 128, 52, 18, 129, 147, 246, 109, 62, 1, 6, 202, 209, negative
85, 44, 66, 125, 58, 6, 148, 45, 19, 145, 170, 323, 185, 84, 8, 1, 180, 183, negative
89, 35, 52, 121, 57, 4, 122, 55, 17, 125, 139, 220, 128, 82, 5, 13, 181, 184, negative
86, 45, 71, 170, 70, 6, 146, 45, 19, 146, 172, 321, 189, 71, 10, 8, 187, 191, negative
108, 51, 100, 206, 63, 10, 196, 34, 23, 159, 214, 576, 201, 65, 7, 16, 194, 205, negative
90, 46, 75, 133, 55, 11, 160, 43, 20, 161, 173, 369, 171, 77, 0, 16, 182, 192, negative
100, 43, 92, 197, 62, 10, 180, 36, 21, 143, 200, 489, 153, 64, 6, 9, 195, 205, negative
110, 54, 102, 201, 64, 11, 213, 31, 24, 171, 222, 669, 221, 73, 17, 16, 188, 198, negative
94, 44, 70, 186, 72, 8, 153, 42, 19, 144, 171, 361, 178, 67, 7, 2, 199, 206, negative
97, 41, 88, 184, 59, 9, 175, 38, 21, 140, 192, 459, 147, 63, 1, 5, 196, 205, negative
103, 48, 96, 232, 71, 10, 205, 32, 23, 153, 226, 633, 197, 71, 2, 15, 188, 196, positive
96, 44, 85, 166, 66, 10, 155, 43, 19, 150, 167, 355, 159, 67, 3, 10, 192, 202, negative
98, 48, 101, 203, 65, 9, 197, 33, 23, 152, 216, 584, 174, 68, 2, 5, 189, 197, negative
80, 43, 68, 123, 53, 7, 150, 46, 19, 147, 169, 327, 176, 81, 7, 14, 179, 184, negative
96, 40, 78, 170, 58, 7, 174, 38, 21, 139, 197, 455, 160, 68, 3, 29, 191, 200, negative
81, 45, 68, 137, 60, 7, 152, 45, 19, 151, 167, 333, 179, 81, 3, 13, 179, 183, negative
91, 36, 83, 162, 61, 8, 142, 47, 19, 128, 163, 298, 137, 63, 0, 31, 193, 200, negative
107, 54, 96, 201, 62, 12, 218, 31, 24, 170, 221, 694, 217, 71, 2, 21, 187, 198, negative
89, 44, 80, 191, 66, 6, 162, 40, 20, 143, 189, 396, 180, 66, 13, 11, 194, 199, positive
83, 46, 68, 139, 59, 6, 150, 44, 19, 146, 172, 336, 183, 74, 5, 3, 185, 191, negative
85, 43, 66, 123, 55, 7, 150, 45, 19, 146, 172, 326, 173, 83, 4, 15, 180, 183, negative
90, 48, 85, 157, 64, 11, 161, 43, 20, 167, 175, 375, 186, 74, 3, 16, 185, 195, negative
89, 42, 66, 125, 53, 7, 131, 51, 18, 144, 162, 254, 162, 73, 10, 17, 188, 191, negative
95, 43, 76, 142, 57, 10, 151, 44, 19, 149, 173, 339, 159, 71, 2, 23, 187, 200, negative
