@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.007, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
6, 7, 42, 1.167, 0.429, 0.881, 3.6, 18, 37, 5, negative
5, 4, 20, 0.8, 0.5, 0.8, 10.0, 10, 16, 1, negative
9, 12, 108, 1.333, 0.444, 0.981, 1.71, 48, 106, 28, negative
9, 83, 747, 9.222, 0.284, 0.849, 1.91, 212, 634, 111, negative
9, 12, 108, 1.333, 0.454, 1.0, 1.69, 49, 108, 29, negative
11, 102, 1122, 9.273, 0.223, 0.768, 1.53, 250, 862, 163, negative
9, 76, 684, 8.444, 0.307, 0.882, 1.84, 210, 603, 114, negative
10, 100, 1000, 10.0, 0.436, 0.91, 2.53, 436, 910, 172, negative
11, 77, 847, 7.0, 0.345, 0.874, 2.43, 292, 740, 120, negative
7, 15, 105, 2.143, 0.324, 0.762, 3.09, 34, 80, 11, negative
7, 58, 406, 8.286, 0.202, 0.751, 2.34, 82, 305, 35, negative
11, 8, 88, 0.727, 0.705, 1.0, 7.75, 62, 88, 8, negative
8, 20, 160, 2.5, 0.5, 1.0, 2.76, 80, 160, 29, negative
10, 21, 210, 2.1, 0.329, 0.843, 2.56, 69, 177, 27, negative
8, 84, 672, 10.5, 0.269, 0.966, 1.79, 181, 649, 101, negative
8, 53, 424, 6.625, 0.358, 0.981, 1.54, 152, 416, 99, negative
8, 18, 144, 2.25, 0.479, 0.986, 2.16, 69, 142, 32, negative
8, 21, 168, 2.625, 0.339, 0.673, 1.97, 57, 113, 29, negative
9, 84, 756, 9.333, 0.288, 0.791, 1.83, 218, 598, 119, negative
11, 118, 1298, 10.727, 0.26, 0.817, 2.01, 338, 1061, 168, negative
9, 35, 315, 3.889, 0.263, 0.667, 2.86, 83, 210, 29, negative
10, 2, 20, 0.2, 0.55, 0.6, 11.0, 11, 12, 1, positive
8, 43, 344, 5.375, 0.349, 0.814, 2.26, 120, 280, 53, negative
10, 130, 1300, 13.0, 0.425, 0.773, 2.79, 552, 1005, 198, negative
3, 16, 48, 5.333, 0.375, 0.938, 2.25, 18, 45, 8, negative
12, 73, 876, 6.083, 0.257, 0.591, 2.14, 225, 518, 105, negative
9, 82, 738, 9.111, 0.247, 0.935, 2.09, 182, 690, 87, negative
12, 43, 516, 3.583, 0.293, 0.791, 2.29, 151, 408, 66, negative
4, 8, 32, 2.0, 0.344, 0.781, 1.83, 11, 25, 6, negative
12, 116, 1392, 9.667, 0.246, 0.707, 1.99, 343, 984, 172, negative
8, 40, 320, 5.0, 0.391, 0.991, 2.08, 125, 317, 60, negative
2, 446, 892, 223.0, 0.439, 0.603, 17.82, 392, 538, 22, positive
11, 85, 935, 7.727, 0.25, 0.664, 1.73, 234, 621, 135, negative
11, 207, 2277, 18.818, 0.268, 0.723, 1.84, 610, 1647, 332, negative
45, 79, 3555, 1.756, 0.087, 0.195, 4.81, 308, 693, 64, positive
9, 36, 324, 4.0, 0.42, 0.889, 2.0, 136, 288, 68, negative
10, 11, 110, 1.1, 0.373, 1.0, 1.58, 41, 110, 26, negative
9, 75, 675, 8.333, 0.396, 0.914, 2.21, 267, 617, 121, negative
25, 118, 2950, 4.72, 0.268, 0.745, 2.02, 791, 2198, 392, negative
10, 126, 1260, 12.6, 0.456, 0.883, 2.85, 575, 1113, 202, negative
8, 32, 256, 4.0, 0.336, 0.789, 2.46, 86, 202, 35, negative
12, 23, 276, 1.917, 0.417, 0.623, 8.21, 115, 172, 14, negative
9, 37, 333, 4.111, 0.538, 0.901, 2.8, 179, 300, 64, negative
34, 114, 3876, 3.353, 0.105, 0.301, 2.59, 406, 1166, 157, negative
9, 5, 45, 0.556, 0.711, 0.889, 10.67, 32, 40, 3, negative
11, 118, 1298, 10.727, 0.348, 0.797, 2.71, 452, 1035, 167, negative
9, 47, 423, 5.222, 0.371, 0.865, 2.75, 157, 366, 57, negative
9, 45, 405, 5.0, 0.425, 0.938, 2.77, 172, 380, 62, negative
1, 29, 29, 29.0, 0.586, 1.0, 2.13, 17, 29, 8, positive
8, 59, 472, 7.375, 0.292, 0.888, 1.82, 138, 419, 76, negative
7, 17, 119, 2.429, 0.387, 0.857, 2.71, 46, 102, 17, negative
11, 9, 99, 0.818, 0.465, 0.768, 3.83, 46, 76, 12, negative
10, 38, 380, 3.8, 0.432, 0.939, 2.78, 164, 357, 59, negative
9, 79, 711, 8.778, 0.343, 0.899, 2.2, 244, 639, 111, negative
9, 22, 198, 2.444, 0.389, 0.843, 1.93, 77, 167, 40, negative
