@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.007, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
6, 4, 24, 0.667, 0.417, 0.708, 2.5, 10, 17, 4, negative
5, 6, 30, 1.2, 0.333, 0.333, 10.0, 10, 10, 1, negative
6, 7, 42, 1.167, 0.405, 0.881, 4.25, 1, 737, 4, negative
5, 5, 25, 1.0, 0.4, 0.56, 5.0, 10, 14, 2, negative
13, 25, 325, 1.923, 0.234, 0.286, 10.86, 76, 93, 7, negative
2, 18, 36, 9.0, 0.667, 0.694, 24.0, 24, 25, 1, positive
9, 22, 198, 2.444, 0.288, 0.818, 2.48, 57, 162, 23, negative
8, 95, 760, 11.875, 0.303, 0.937, 1.77, 230, 712, 130, negative
12, 44, 528, 3.667, 0.294, 0.742, 2.31, 155, 392, 67, negative
10, 63, 630, 6.3, 0.233, 0.705, 1.69, 147, 444, 87, negative
9, 13, 117, 1.444, 0.239, 0.462, 4.67, 28, 54, 6, negative
9, 40, 360, 4.444, 0.356, 0.967, 2.29, 128, 348, 56, negative
3, 116, 348, 38.667, 0.356, 0.371, 62.0, 124, 129, 2, positive
2, 69, 138, 34.5, 0.623, 0.906, 10.75, 86, 125, 8, positive
9, 41, 369, 4.556, 0.301, 0.886, 1.91, 111, 327, 58, negative
1, 10, 10, 10.0, 0.9, 1.0, 9.0, 9, 10, 1, positive
11, 9, 99, 0.818, 0.475, 0.636, 15.67, 47, 63, 3, negative
9, 96, 864, 10.667, 0.281, 0.815, 1.96, 243, 704, 124, negative
11, 26, 286, 2.364, 0.297, 0.941, 2.02, 85, 269, 42, negative
19, 2, 38, 0.105, 0.816, 0.816, 31.0, 31, 31, 1, positive
9, 101, 909, 11.222, 0.442, 0.861, 2.68, 402, 783, 150, negative
2, 112, 224, 56.0, 0.496, 0.504, 55.5, 111, 113, 2, positive
9, 122, 1098, 13.556, 0.339, 0.947, 2.57, 372, 1040, 145, negative
11, 21, 231, 1.909, 0.411, 0.68, 3.96, 95, 157, 24, negative
1, 32, 32, 32.0, 0.719, 1.0, 5.75, 23, 32, 4, positive
9, 32, 288, 3.556, 0.333, 0.861, 1.68, 96, 248, 57, negative
8, 82, 656, 10.25, 0.398, 0.951, 2.51, 261, 624, 104, negative
8, 75, 600, 9.375, 0.415, 0.91, 2.37, 249, 546, 105, negative
2, 123, 246, 61.5, 0.5, 0.504, 123.0, 123, 124, 1, positive
