@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.007, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
5, 3, 15, 0.6, 0.533, 0.733, 8.0, 8, 11, 1, negative
5, 7, 35, 1.4, 0.429, 0.857, 5.0, 15, 30, 3, negative
5, 19, 95, 3.8, 0.232, 0.4, 5.5, 22, 38, 4, negative
11, 8, 88, 0.727, 0.409, 0.477, 36.0, 36, 42, 1, negative
3, 59, 177, 19.667, 0.475, 0.475, 84.0, 84, 84, 1, positive
2, 20, 40, 10.0, 0.675, 0.675, 27.0, 27, 27, 1, positive
9, 37, 333, 4.111, 0.532, 0.913, 3.22, 177, 304, 55, negative
2, 18, 36, 9.0, 0.806, 0.833, 29.0, 29, 30, 1, positive
10, 66, 660, 6.6, 0.273, 0.661, 1.94, 180, 436, 93, negative
9, 80, 720, 8.889, 0.333, 0.878, 2.02, 240, 632, 119, negative
12, 56, 672, 4.667, 0.256, 0.827, 2.02, 172, 556, 85, negative
12, 14, 168, 1.167, 0.357, 0.958, 2.31, 60, 161, 26, negative
9, 32, 288, 3.556, 0.271, 0.594, 2.23, 78, 171, 35, negative
3, 116, 348, 38.667, 0.385, 0.494, 33.5, 134, 172, 4, positive
2, 48, 96, 24.0, 0.625, 0.677, 30.0, 60, 65, 2, positive
9, 37, 333, 4.111, 0.526, 0.898, 3.18, 175, 299, 55, negative
1, 8, 8, 8.0, 1.0, 1.0, 8.0, 8, 8, 1, positive
14, 185, 2590, 13.214, 0.254, 0.651, 2.27, 657, 1687, 289, negative
2, 11, 22, 5.5, 0.409, 0.955, 9.0, 9, 21, 1, negative
11, 9, 99, 0.818, 0.485, 0.727, 6.0, 48, 72, 8, negative
11, 84, 924, 7.636, 0.262, 0.82, 1.69, 242, 758, 143, negative
9, 99, 891, 11.0, 0.27, 0.818, 1.93, 241, 729, 125, negative
12, 26, 312, 2.167, 0.221, 1.0, 1.6, 69, 312, 43, negative
9, 36, 324, 4.0, 0.568, 0.932, 3.02, 184, 302, 61, negative
11, 301, 3311, 27.364, 0.308, 0.735, 2.22, 1019, 2435, 458, negative
7, 122, 854, 17.429, 0.281, 0.626, 1.73, 240, 535, 139, negative
9, 36, 324, 4.0, 0.549, 0.914, 3.3, 178, 296, 54, negative
10, 96, 960, 9.6, 0.418, 0.886, 2.49, 401, 851, 161, negative
9, 49, 441, 5.444, 0.594, 0.998, 3.05, 262, 440, 86, negative
9, 37, 333, 4.111, 0.381, 0.808, 2.05, 127, 269, 62, negative
8, 67, 536, 8.375, 0.381, 0.746, 2.49, 204, 400, 82, negative
10, 81, 810, 8.1, 0.279, 0.81, 2.11, 226, 656, 107, negative
8, 6, 48, 0.75, 0.5, 0.646, 8.0, 24, 31, 3, negative
10, 65, 650, 6.5, 0.445, 0.911, 2.58, 289, 592, 112, negative
8, 45, 360, 5.625, 0.367, 0.897, 2.44, 132, 323, 54, negative
14, 339, 4746, 24.214, 0.248, 0.547, 2.44, 1175, 2596, 481, negative
44, 3, 132, 0.068, 0.598, 0.841, 2.47, 79, 111, 32, positive
42, 7, 294, 0.167, 0.282, 0.432, 2.18, 83, 127, 38, positive
3, 7, 21, 2.333, 0.619, 0.619, 13.0, 13, 13, 1, negative
6, 17, 102, 2.833, 0.275, 0.824, 2.0, 28, 84, 14, negative
11, 35, 385, 3.182, 0.335, 0.584, 4.78, 129, 225, 27, negative
10, 33, 330, 3.3, 0.367, 0.864, 1.95, 121, 285, 62, negative
9, 82, 738, 9.111, 0.379, 0.879, 2.35, 280, 649, 119, negative
11, 43, 473, 3.909, 0.334, 0.875, 2.47, 158, 414, 64, negative
9, 36, 324, 4.0, 0.611, 0.926, 3.36, 198, 300, 59, negative
10, 40, 400, 4.0, 0.428, 0.895, 3.05, 171, 358, 56, negative
9, 47, 423, 5.222, 0.385, 0.917, 2.51, 163, 388, 65, negative
8, 28, 224, 3.5, 0.259, 0.844, 1.93, 58, 189, 30, negative
10, 21, 210, 2.1, 0.348, 0.757, 3.17, 73, 159, 23, negative
9, 7, 63, 0.778, 0.302, 0.603, 1.9, 19, 38, 10, negative
11, 125, 1375, 11.364, 0.432, 0.804, 3.03, 594, 1105, 196, negative
10, 43, 430, 4.3, 0.458, 0.94, 3.58, 197, 404, 55, negative
10, 48, 480, 4.8, 0.331, 0.742, 2.37, 159, 356, 67, negative
9, 44, 396, 4.889, 0.449, 0.879, 2.97, 178, 348, 60, negative
11, 9, 99, 0.818, 0.515, 0.768, 8.5, 51, 76, 6, negative
9, 36, 324, 4.0, 0.506, 0.901, 2.83, 164, 292, 58, negative
9, 78, 702, 8.667, 0.329, 0.896, 2.1, 231, 629, 110, negative
8, 36, 288, 4.5, 0.465, 0.885, 2.13, 134, 255, 63, negative
12, 90, 1080, 7.5, 0.183, 0.716, 1.92, 198, 773, 103, negative
1, 13, 13, 13.0, 0.692, 1.0, 3.0, 9, 13, 3, positive
8, 36, 288, 4.5, 0.559, 0.944, 3.04, 161, 272, 53, negative
9, 126, 1134, 14.0, 0.466, 0.907, 2.84, 528, 1029, 186, negative
8, 40, 320, 5.0, 0.409, 0.997, 2.22, 131, 319, 59, negative
9, 45, 405, 5.0, 0.447, 0.896, 3.23, 181, 363, 56, negative
7, 35, 245, 5.0, 0.482, 0.841, 2.81, 118, 206, 42, negative
9, 122, 1098, 13.556, 0.333, 0.829, 2.54, 366, 910, 144, negative
3, 14, 42, 4.667, 0.381, 0.881, 3.2, 16, 37, 5, negative
9, 21, 189, 2.333, 0.317, 0.778, 2.61, 60, 147, 23, negative
9, 32, 288, 3.556, 0.354, 0.806, 1.7, 102, 232, 60, negative
9, 92, 828, 10.222, 0.35, 0.917, 2.07, 290, 759, 140, negative
9, 52, 468, 5.778, 0.37, 0.996, 1.71, 173, 466, 101, negative
6, 7, 42, 1.167, 0.238, 0.69, 10.0, 10, 29, 1, positive
9, 40, 360, 4.444, 0.386, 0.889, 2.44, 139, 320, 57, negative
2, 14, 28, 7.0, 0.286, 0.821, 8.0, 8, 23, 1, positive
9, 39, 351, 4.333, 0.444, 0.923, 2.74, 156, 324, 57, negative
9, 81, 729, 9.0, 0.357, 0.863, 2.22, 260, 629, 117, negative
10, 67, 670, 6.7, 0.3, 0.745, 2.14, 201, 499, 94, negative
9, 99, 891, 11.0, 0.312, 0.826, 2.16, 278, 736, 129, negative
12, 83, 996, 6.917, 0.253, 0.756, 1.75, 252, 753, 144, negative
9, 21, 189, 2.333, 0.323, 0.81, 1.79, 61, 153, 34, negative
9, 32, 288, 3.556, 0.299, 0.691, 2.1, 86, 199, 41, negative
8, 41, 328, 5.125, 0.393, 0.976, 2.19, 129, 320, 59, negative
14, 301, 4214, 21.5, 0.257, 0.564, 2.37, 1084, 2378, 458, negative
10, 130, 1300, 13.0, 0.453, 0.822, 2.78, 589, 1069, 212, negative
8, 21, 168, 2.625, 0.208, 0.762, 2.92, 35, 128, 12, negative
8, 3, 24, 0.375, 0.458, 0.708, 2.75, 11, 17, 4, negative
10, 8, 80, 0.8, 0.675, 1.0, 9.0, 54, 80, 6, negative
1, 69, 69, 69.0, 0.841, 1.0, 8.29, 58, 69, 7, positive
9, 20, 180, 2.222, 0.3, 0.972, 1.74, 54, 175, 31, negative
9, 63, 567, 7.0, 0.289, 0.778, 1.98, 164, 441, 83, negative
9, 36, 324, 4.0, 0.531, 0.938, 2.82, 172, 304, 61, negative
10, 100, 1000, 10.0, 0.41, 0.846, 2.81, 410, 846, 146, negative
10, 116, 1160, 11.6, 0.273, 0.797, 1.7, 317, 925, 186, negative
12, 230, 2760, 19.167, 0.164, 0.57, 3.48, 453, 1572, 130, negative
6, 43, 258, 7.167, 0.205, 0.69, 1.77, 53, 178, 30, negative
10, 48, 480, 4.8, 0.313, 0.76, 2.5, 150, 365, 60, negative
9, 37, 333, 4.111, 0.453, 0.964, 2.7, 151, 321, 56, negative
13, 217, 2821, 16.692, 0.361, 0.686, 3.05, 1019, 1934, 334, negative
12, 168, 2016, 14.0, 0.255, 0.719, 2.1, 515, 1449, 245, negative
10, 121, 1210, 12.1, 0.37, 0.873, 2.41, 448, 1056, 186, negative
12, 118, 1416, 9.833, 0.309, 0.726, 2.42, 438, 1028, 181, negative
14, 1, 14, 0.071, 1.0, 1.0, 14.0, 14, 14, 1, positive
7, 29, 203, 4.143, 0.266, 0.813, 2.7, 54, 165, 20, negative
5, 17, 85, 3.4, 0.471, 0.929, 2.35, 40, 79, 17, negative
8, 72, 576, 9.0, 0.399, 0.811, 2.25, 230, 467, 102, negative
8, 14, 112, 1.75, 0.518, 0.964, 3.22, 58, 108, 18, negative
6, 114, 684, 19.0, 0.278, 0.741, 1.76, 190, 507, 108, negative
7, 181, 1267, 25.857, 0.316, 0.758, 1.65, 400, 961, 242, negative
7, 71, 497, 10.143, 0.394, 0.958, 1.87, 196, 476, 105, negative
8, 133, 1064, 16.625, 0.272, 0.825, 1.78, 289, 878, 162, negative
6, 100, 600, 16.667, 0.345, 0.795, 1.68, 207, 477, 123, negative
10, 35, 350, 3.5, 0.337, 0.714, 1.87, 118, 250, 63, negative
12, 89, 1068, 7.417, 0.429, 0.879, 3.5, 458, 939, 131, negative
12, 129, 1548, 10.75, 0.303, 0.711, 2.51, 469, 1100, 187, negative
7, 14, 98, 2.0, 0.49, 0.939, 2.53, 48, 92, 19, negative
7, 27, 189, 3.857, 0.344, 1.0, 1.97, 65, 189, 33, negative
