@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.007, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
5, 7, 35, 1.4, 0.4, 0.657, 2.33, 14, 23, 6, negative
5, 7, 35, 1.4, 0.486, 0.914, 8.5, 17, 32, 2, negative
9, 50, 450, 5.556, 0.496, 0.958, 2.69, 223, 431, 83, negative
4, 194, 776, 48.5, 0.263, 0.273, 34.0, 204, 212, 6, positive
9, 51, 459, 5.667, 0.296, 0.786, 2.34, 136, 361, 58, negative
9, 34, 306, 3.778, 0.32, 0.886, 1.56, 98, 271, 63, negative
11, 99, 1089, 9.0, 0.23, 0.601, 2.14, 250, 654, 117, negative
10, 4, 40, 0.4, 0.375, 0.4, 15.0, 15, 16, 1, negative
11, 20, 220, 1.818, 0.168, 0.75, 3.36, 37, 165, 11, negative
98, 3, 294, 0.031, 0.48, 0.486, 141.0, 141, 143, 1, positive
9, 75, 675, 8.333, 0.256, 0.606, 2.19, 173, 409, 79, negative
2, 46, 92, 23.0, 0.587, 0.761, 18.0, 54, 70, 3, positive
2, 17, 34, 8.5, 0.588, 0.971, 6.67, 20, 33, 3, positive
7, 17, 119, 2.429, 0.227, 0.58, 2.7, 27, 69, 10, negative
2, 17, 34, 8.5, 0.324, 1.0, 2.75, 11, 34, 4, negative
5, 9, 45, 1.8, 0.267, 0.778, 1.71, 12, 35, 7, negative
9, 66, 594, 7.333, 0.323, 0.805, 2.0, 192, 478, 96, negative
8, 83, 664, 10.375, 0.325, 0.908, 1.76, 216, 603, 123, negative
12, 117, 1404, 9.75, 0.22, 0.673, 1.68, 309, 945, 184, negative
8, 40, 320, 5.0, 0.403, 0.991, 2.53, 129, 317, 51, negative
9, 20, 180, 2.222, 0.261, 0.556, 2.35, 47, 100, 20, negative
8, 41, 328, 5.125, 0.335, 0.933, 2.08, 110, 306, 53, negative
1, 75, 75, 75.0, 0.813, 1.0, 5.55, 61, 75, 11, positive
7, 35, 245, 5.0, 0.453, 0.873, 2.47, 111, 214, 45, negative
6, 46, 276, 7.667, 0.217, 0.804, 2.0, 60, 222, 30, negative
10, 38, 380, 3.8, 0.439, 0.897, 2.83, 167, 341, 59, negative
9, 23, 207, 2.556, 0.304, 1.0, 1.62, 63, 207, 39, negative
9, 81, 729, 9.0, 0.388, 0.897, 2.38, 283, 654, 119, negative
94, 2, 188, 0.021, 0.516, 0.516, 97.0, 97, 97, 1, positive
11, 84, 924, 7.636, 0.251, 0.681, 1.77, 232, 629, 131, negative
9, 37, 333, 4.111, 0.598, 0.946, 3.49, 199, 315, 57, negative
9, 82, 738, 9.111, 0.337, 0.817, 2.01, 249, 603, 124, negative
1, 9, 9, 9.0, 0.778, 1.0, 7.0, 7, 9, 1, positive
93, 4, 372, 0.043, 0.419, 0.565, 2.89, 156, 210, 54, positive
2, 236, 472, 118.0, 0.566, 0.689, 10.27, 267, 325, 26, positive
304, 463, 140752, 1.523, 0.063, 0.121, 3.91, 8898, 17081, 2273, positive
9, 97, 873, 10.778, 0.466, 0.973, 2.42, 407, 849, 168, negative
9, 92, 828, 10.222, 0.365, 0.954, 2.2, 302, 790, 137, negative
9, 93, 837, 10.333, 0.323, 0.888, 2.06, 270, 743, 131, negative
11, 49, 539, 4.455, 0.343, 0.666, 4.3, 185, 359, 43, negative
11, 102, 1122, 9.273, 0.289, 0.829, 1.87, 324, 930, 173, negative
11, 13, 143, 1.182, 0.42, 0.979, 2.22, 60, 140, 27, negative
11, 100, 1100, 9.091, 0.456, 0.882, 3.04, 502, 970, 165, negative
10, 85, 850, 8.5, 0.333, 0.696, 2.28, 283, 592, 124, negative
9, 43, 387, 4.778, 0.509, 0.959, 3.58, 197, 371, 55, negative
9, 44, 396, 4.889, 0.467, 0.944, 3.14, 185, 374, 59, negative
9, 39, 351, 4.333, 0.293, 0.937, 2.06, 103, 329, 50, negative
10, 131, 1310, 13.1, 0.439, 0.845, 2.79, 575, 1107, 206, negative
12, 8, 96, 0.667, 0.479, 0.5, 46.0, 46, 48, 1, negative
12, 101, 1212, 8.417, 0.292, 0.792, 1.99, 354, 960, 178, negative
10, 87, 870, 8.7, 0.344, 0.901, 2.27, 299, 784, 132, negative
12, 146, 1752, 12.167, 0.091, 0.128, 26.67, 160, 225, 6, positive
6, 17, 102, 2.833, 0.314, 0.686, 2.29, 32, 70, 14, negative
9, 98, 882, 10.889, 0.491, 0.974, 2.78, 433, 859, 156, negative
10, 83, 830, 8.3, 0.357, 0.813, 2.28, 296, 675, 130, negative
10, 53, 530, 5.3, 0.343, 0.811, 2.0, 182, 430, 91, negative
9, 99, 891, 11.0, 0.38, 0.93, 1.92, 339, 829, 177, negative
12, 8, 96, 0.667, 0.302, 1.0, 2.9, 29, 96, 10, negative
12, 42, 504, 3.5, 0.355, 0.788, 2.71, 179, 397, 66, negative
9, 76, 684, 8.444, 0.38, 0.95, 2.2, 260, 650, 118, negative
10, 65, 650, 6.5, 0.475, 0.971, 2.76, 309, 631, 112, negative
9, 85, 765, 9.444, 0.395, 0.846, 2.32, 302, 647, 130, negative
1, 7, 7, 7.0, 1.0, 1.0, 7.0, 7, 7, 1, positive
10, 130, 1300, 13.0, 0.486, 0.856, 3.18, 632, 1113, 199, negative
1, 28, 28, 28.0, 0.964, 1.0, 27.0, 27, 28, 1, positive
7, 2, 14, 0.286, 0.5, 0.929, 7.0, 7, 13, 1, negative
10, 8, 80, 0.8, 0.4, 0.7, 4.0, 32, 56, 8, negative
9, 49, 441, 5.444, 0.592, 0.998, 2.97, 261, 440, 88, negative
8, 38, 304, 4.75, 0.349, 0.757, 1.93, 106, 230, 55, negative
8, 26, 208, 3.25, 0.37, 0.947, 1.79, 77, 197, 43, negative
11, 118, 1298, 10.727, 0.29, 0.798, 1.99, 376, 1036, 189, negative
9, 130, 1170, 14.444, 0.448, 0.877, 2.63, 524, 1026, 199, negative
11, 84, 924, 7.636, 0.291, 0.843, 1.74, 269, 779, 155, negative
10, 80, 800, 8.0, 0.279, 0.8, 1.92, 223, 640, 116, negative
9, 27, 243, 3.0, 0.346, 0.975, 1.87, 84, 237, 45, negative
11, 8, 88, 0.727, 0.261, 1.0, 2.09, 23, 88, 11, negative
9, 9, 81, 1.0, 0.383, 0.802, 2.38, 31, 65, 13, negative
7, 6, 42, 0.857, 0.5, 0.548, 21.0, 21, 23, 1, negative
10, 64, 640, 6.4, 0.477, 0.914, 2.8, 305, 585, 109, negative
10, 101, 1010, 10.1, 0.45, 0.869, 2.95, 455, 878, 154, negative
9, 43, 387, 4.778, 0.47, 0.948, 3.31, 182, 367, 55, negative
9, 42, 378, 4.667, 0.381, 0.931, 2.48, 144, 352, 58, negative
5, 16, 80, 3.2, 0.313, 0.813, 2.08, 25, 65, 12, negative
1, 29, 29, 29.0, 1.0, 1.0, 29.0, 29, 29, 1, positive
9, 86, 774, 9.556, 0.337, 0.757, 2.19, 261, 586, 119, negative
9, 36, 324, 4.0, 0.352, 0.806, 1.75, 114, 261, 65, negative
9, 63, 567, 7.0, 0.284, 0.908, 1.96, 161, 515, 82, negative
8, 33, 264, 4.125, 0.39, 0.973, 1.72, 103, 257, 60, negative
8, 18, 144, 2.25, 0.472, 1.0, 2.52, 68, 144, 27, negative
8, 21, 168, 2.625, 0.363, 0.774, 1.69, 61, 130, 36, negative
9, 99, 891, 11.0, 0.484, 0.951, 2.52, 431, 847, 171, negative
38, 70, 2660, 1.842, 0.059, 0.062, 19.63, 157, 165, 8, positive
9, 1, 9, 0.111, 1.0, 1.0, 9.0, 9, 9, 1, positive
7, 43, 301, 6.143, 0.243, 0.807, 3.48, 73, 243, 21, negative
