@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.007, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
5, 5, 25, 1.0, 0.4, 0.52, 10.0, 10, 13, 1, negative
11, 8, 88, 0.727, 0.602, 1.0, 5.89, 53, 88, 9, negative
9, 90, 810, 10.0, 0.26, 0.786, 2.18, 211, 637, 97, negative
10, 12, 120, 1.2, 0.367, 1.0, 1.69, 44, 120, 26, negative
10, 34, 340, 3.4, 0.297, 0.885, 1.71, 101, 301, 59, negative
2, 20, 40, 10.0, 0.725, 0.875, 29.0, 29, 35, 1, positive
11, 101, 1111, 9.182, 0.398, 0.888, 2.76, 442, 987, 160, negative
11, 119, 1309, 10.818, 0.236, 0.747, 1.75, 309, 978, 177, negative
10, 44, 440, 4.4, 0.393, 0.852, 3.15, 173, 375, 55, negative
6, 27, 162, 4.5, 0.154, 0.481, 2.78, 25, 78, 9, negative
1, 27, 27, 27.0, 0.593, 1.0, 4.0, 16, 27, 4, negative
1, 12, 12, 12.0, 0.583, 1.0, 3.5, 7, 12, 2, negative
2, 19, 38, 9.5, 0.237, 1.0, 1.8, 9, 38, 5, negative
7, 107, 749, 15.286, 0.27, 0.654, 1.6, 202, 490, 126, negative
11, 7, 77, 0.636, 0.597, 1.0, 5.75, 46, 77, 8, negative
11, 8, 88, 0.727, 0.511, 0.852, 9.0, 45, 75, 5, negative
1, 43, 43, 43.0, 0.907, 1.0, 9.75, 39, 43, 4, positive
9, 36, 324, 4.0, 0.54, 0.929, 2.87, 175, 301, 61, negative
10, 98, 980, 9.8, 0.391, 0.835, 2.41, 383, 818, 159, negative
10, 49, 490, 4.9, 0.52, 0.961, 2.97, 255, 471, 86, negative
9, 34, 306, 3.778, 0.379, 0.961, 1.71, 116, 294, 68, negative
7, 33, 231, 4.714, 0.143, 0.844, 2.36, 33, 195, 14, negative
9, 64, 576, 7.111, 0.465, 0.899, 2.58, 268, 518, 104, negative
8, 8, 64, 1.0, 0.203, 0.344, 4.33, 13, 22, 3, negative
9, 99, 891, 11.0, 0.464, 0.942, 2.52, 413, 839, 164, negative
9, 46, 414, 5.111, 0.292, 0.676, 1.92, 121, 280, 63, negative
2, 157, 314, 78.5, 0.506, 0.551, 26.5, 159, 173, 6, positive
8, 20, 160, 2.5, 0.525, 0.938, 3.5, 84, 150, 24, negative
8, 79, 632, 9.875, 0.375, 0.956, 2.12, 237, 604, 112, negative
10, 64, 640, 6.4, 0.295, 0.808, 2.25, 189, 517, 84, negative
11, 83, 913, 7.545, 0.274, 0.9, 1.71, 250, 822, 146, negative
25, 71, 1775, 2.84, 0.234, 0.748, 2.22, 416, 1328, 187, negative
12, 8, 96, 0.667, 0.198, 1.0, 2.11, 19, 96, 9, negative
8, 45, 360, 5.625, 0.156, 0.725, 1.87, 56, 261, 30, negative
