@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.007, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
5, 8, 40, 1.6, 0.375, 0.475, 15.0, 15, 19, 1, negative
4, 6, 24, 1.5, 0.417, 0.5, 10.0, 10, 12, 1, negative
13, 25, 325, 1.923, 0.351, 0.68, 6.0, 114, 221, 19, negative
7, 16, 112, 2.286, 0.321, 0.643, 2.57, 36, 72, 14, negative
11, 9, 99, 0.818, 0.343, 0.626, 3.4, 34, 62, 10, negative
10, 98, 980, 9.8, 0.379, 0.835, 2.22, 371, 818, 167, negative
9, 64, 576, 7.111, 0.299, 0.97, 1.81, 172, 559, 95, negative
10, 83, 830, 8.3, 0.266, 0.827, 2.1, 221, 686, 105, negative
12, 11, 132, 0.917, 0.371, 1.0, 1.63, 49, 132, 30, negative
12, 44, 528, 3.667, 0.261, 0.767, 2.38, 138, 405, 58, negative
1, 8, 8, 8.0, 1.0, 1.0, 8.0, 8, 8, 1, positive
9, 47, 423, 5.222, 0.274, 0.747, 2.42, 116, 316, 48, negative
10, 131, 1310, 13.1, 0.415, 0.857, 2.74, 543, 1123, 198, negative
7, 46, 322, 6.571, 0.155, 0.587, 4.17, 50, 189, 12, negative
9, 34, 306, 3.778, 0.337, 0.817, 1.81, 103, 250, 57, negative
8, 80, 640, 10.0, 0.303, 0.922, 1.72, 194, 590, 113, negative
8, 80, 640, 10.0, 0.298, 0.883, 1.72, 191, 565, 111, negative
9, 80, 720, 8.889, 0.293, 0.868, 1.85, 211, 625, 114, negative
8, 41, 328, 5.125, 0.363, 0.942, 1.63, 119, 309, 73, negative
8, 75, 600, 9.375, 0.328, 0.888, 1.86, 197, 533, 106, negative
1, 45, 45, 45.0, 0.756, 1.0, 5.67, 34, 45, 6, positive
11, 8, 88, 0.727, 0.375, 0.602, 4.13, 33, 53, 8, negative
11, 9, 99, 0.818, 0.465, 0.818, 9.2, 46, 81, 5, negative
1, 52, 52, 52.0, 0.788, 1.0, 10.25, 41, 52, 4, positive
10, 11, 110, 1.1, 0.382, 1.0, 1.5, 42, 110, 28, negative
