@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.007, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
6, 18, 108, 3.0, 0.287, 0.741, 4.43, 31, 80, 7, negative
6, 3, 18, 500.0, 0.5, 0.944, 2.25, 9, 17, 4, negative
5, 7, 35, 1.4, 0.429, 0.886, 2.5, 15, 31, 6, negative
11, 35, 385, 3.182, 0.382, 0.657, 6.13, 147, 253, 24, negative
3, 113, 339, 37.667, 0.41, 0.472, 13.9, 139, 160, 10, positive
10, 38, 380, 3.8, 0.426, 0.947, 3.12, 162, 360, 52, negative
2, 22, 44, 11.0, 0.75, 0.75, 33.0, 33, 33, 1, positive
9, 92, 828, 10.222, 0.292, 0.843, 2.05, 242, 698, 118, negative
9, 54, 486, 6.0, 0.292, 0.957, 1.48, 142, 465, 96, negative
12, 7, 84, 0.583, 0.214, 0.583, 3.6, 18, 49, 5, negative
2, 20, 40, 10.0, 0.775, 0.85, 31.0, 31, 34, 1, positive
13, 10, 130, 0.769, 0.3, 0.808, 6.5, 39, 105, 6, negative
11, 86, 946, 7.818, 0.413, 0.853, 3.1, 391, 807, 126, negative
9, 21, 189, 2.333, 0.291, 0.762, 1.57, 55, 144, 35, negative
8, 8, 64, 1.0, 0.234, 0.328, 5.0, 15, 21, 3, negative
9, 40, 360, 4.444, 0.319, 0.919, 2.35, 115, 331, 49, negative
3, 132, 396, 44.0, 0.505, 0.558, 20.0, 200, 221, 10, positive
1, 17, 17, 17.0, 0.765, 1.0, 3.25, 13, 17, 4, positive
10, 152, 1520, 15.2, 0.297, 0.778, 2.17, 452, 1182, 208, negative
11, 8, 88, 0.727, 0.443, 0.466, 39.0, 39, 41, 1, negative
10, 38, 380, 3.8, 0.387, 0.887, 2.49, 147, 337, 59, negative
9, 19, 171, 2.111, 0.292, 0.76, 2.63, 50, 130, 19, negative
8, 26, 208, 3.25, 0.375, 0.947, 1.77, 78, 197, 44, negative
8, 31, 248, 3.875, 0.327, 0.79, 1.84, 81, 196, 44, negative
5, 3, 15, 0.6, 0.467, 1.0, 7.0, 7, 15, 1, negative
3, 31, 93, 10.333, 0.226, 0.774, 2.1, 21, 72, 10, negative
10, 21, 210, 2.1, 0.324, 0.6, 3.4, 68, 126, 20, negative
1, 13, 13, 13.0, 0.692, 1.0, 4.5, 9, 13, 2, positive
9, 32, 288, 3.556, 0.292, 0.826, 1.53, 84, 238, 55, negative
8, 53, 424, 6.625, 0.37, 0.901, 1.76, 157, 382, 89, negative
10, 100, 1000, 10.0, 0.449, 0.874, 2.82, 449, 874, 159, negative
9, 44, 396, 4.889, 0.465, 0.944, 3.35, 184, 374, 55, negative
9, 45, 405, 5.0, 0.442, 0.956, 3.31, 179, 387, 54, negative
1, 61, 61, 61.0, 1.0, 1.0, 61.0, 61, 61, 1, positive
9, 174, 1566, 19.333, 0.178, 0.737, 1.71, 279, 1154, 163, negative
9, 80, 720, 8.889, 0.338, 0.954, 2.04, 243, 687, 119, negative
1, 49, 49, 49.0, 0.286, 1.0, 7.0, 14, 49, 2, negative
1, 52, 52, 52.0, 0.981, 1.0, 51.0, 51, 52, 1, positive
9, 34, 306, 3.778, 0.288, 0.641, 2.1, 88, 196, 42, negative
9, 47, 423, 5.222, 0.333, 0.757, 2.39, 141, 320, 59, negative
9, 47, 423, 5.222, 0.31, 0.78, 2.34, 131, 330, 56, negative
2, 64, 128, 32.0, 0.531, 0.586, 17.0, 68, 75, 4, positive
7, 17, 119, 2.429, 0.412, 0.933, 2.72, 49, 111, 18, negative
10, 34, 340, 3.4, 0.421, 0.906, 2.01, 143, 308, 71, negative
12, 83, 996, 6.917, 0.301, 0.814, 1.99, 300, 811, 151, negative
9, 47, 423, 5.222, 0.492, 0.948, 2.42, 208, 401, 86, negative
11, 86, 946, 7.818, 0.332, 0.808, 2.2, 314, 764, 143, negative
17, 2, 34, 0.118, 0.706, 0.706, 24.0, 24, 24, 1, positive
10, 18, 180, 1.8, 0.511, 0.872, 2.97, 92, 157, 31, negative
1, 17, 17, 17.0, 0.412, 1.0, 1.75, 7, 17, 4, positive
11, 61, 671, 5.545, 0.361, 0.614, 5.04, 242, 412, 48, negative
9, 23, 207, 2.556, 0.3, 1.0, 1.51, 62, 207, 41, negative
9, 37, 333, 4.111, 0.39, 0.811, 2.03, 130, 270, 64, negative
9, 34, 306, 3.778, 0.412, 0.902, 1.91, 126, 276, 66, negative
10, 79, 790, 7.9, 0.347, 0.784, 2.25, 274, 619, 122, negative
12, 98, 1176, 8.167, 0.267, 0.627, 2.33, 314, 737, 135, negative
9, 82, 738, 9.111, 0.374, 0.866, 2.3, 276, 639, 120, negative
10, 34, 340, 3.4, 0.388, 0.891, 2.1, 132, 303, 63, negative
10, 42, 420, 4.2, 0.317, 0.85, 2.22, 133, 357, 60, negative
24, 340, 8160, 14.167, 0.211, 0.468, 2.67, 1718, 3822, 643, negative
7, 42, 294, 6.0, 0.293, 0.857, 2.61, 86, 252, 33, negative
11, 8, 88, 0.727, 0.727, 0.989, 10.67, 64, 87, 6, negative
1, 14, 14, 14.0, 0.571, 1.0, 2.0, 8, 14, 4, positive
9, 38, 342, 4.222, 0.444, 0.898, 2.71, 152, 307, 56, negative
11, 98, 1078, 8.909, 0.397, 0.778, 2.61, 428, 839, 164, negative
21, 106, 2226, 5.048, 0.136, 0.396, 1.99, 302, 881, 152, negative
8, 24, 192, 3.0, 0.297, 0.974, 1.43, 57, 187, 40, negative
8, 17, 136, 2.125, 0.309, 0.676, 2.33, 42, 92, 18, negative
9, 82, 738, 9.111, 0.32, 0.947, 2.13, 236, 699, 111, negative
9, 46, 414, 5.111, 0.365, 0.848, 2.01, 151, 351, 75, negative
12, 43, 516, 3.583, 0.328, 0.789, 2.56, 169, 407, 66, negative
8, 21, 168, 2.625, 0.381, 0.845, 1.88, 64, 142, 34, negative
9, 99, 891, 11.0, 0.461, 0.906, 2.65, 411, 807, 155, negative
8, 48, 384, 6.0, 0.328, 0.885, 2.0, 126, 340, 63, negative
8, 42, 336, 5.25, 0.39, 0.94, 2.43, 131, 316, 54, negative
1, 17, 17, 17.0, 0.824, 1.0, 4.67, 14, 17, 3, positive
8, 18, 144, 2.25, 0.215, 0.813, 2.38, 31, 117, 13, negative
7, 121, 847, 17.286, 0.305, 0.675, 1.79, 258, 572, 144, negative
9, 97, 873, 10.778, 0.455, 0.939, 2.28, 397, 820, 174, negative
9, 23, 207, 2.556, 0.324, 0.986, 1.63, 67, 204, 41, negative
8, 18, 144, 2.25, 0.472, 1.0, 2.52, 68, 144, 27, negative
10, 125, 1250, 12.5, 0.456, 0.862, 2.92, 570, 1078, 195, negative
12, 117, 1404, 9.75, 0.231, 0.712, 1.68, 324, 1000, 193, negative
1, 46, 46, 46.0, 0.239, 1.0, 1.38, 11, 46, 8, positive
9, 122, 1098, 13.556, 0.378, 0.961, 2.73, 415, 1055, 152, negative
69, 3, 207, 0.043, 0.643, 0.952, 2.08, 133, 197, 64, positive
3, 183, 549, 61.0, 0.488, 0.577, 29.78, 268, 317, 9, positive
11, 67, 737, 6.091, 0.269, 0.689, 2.96, 198, 508, 67, negative
12, 8, 96, 0.667, 0.438, 0.51, 42.0, 42, 49, 1, negative
9, 12, 108, 1.333, 0.444, 1.0, 1.85, 48, 108, 26, negative
9, 95, 855, 10.556, 0.284, 0.849, 1.91, 243, 726, 127, negative
9, 32, 288, 3.556, 0.413, 0.993, 1.72, 119, 286, 69, negative
9, 36, 324, 4.0, 0.565, 0.944, 3.16, 183, 306, 58, negative
10, 101, 1010, 10.1, 0.442, 0.855, 2.92, 446, 864, 153, negative
9, 123, 1107, 13.667, 0.359, 0.898, 2.78, 397, 994, 143, negative
8, 14, 112, 1.75, 0.321, 0.938, 1.71, 36, 105, 21, negative
6, 2, 12, 0.333, 0.667, 1.0, 8.0, 8, 12, 1, negative
10, 8, 80, 0.8, 0.6, 1.0, 6.0, 48, 80, 8, negative
10, 8, 80, 0.8, 0.575, 0.888, 9.2, 46, 71, 5, negative
10, 97, 970, 9.7, 0.425, 0.825, 2.71, 412, 800, 152, negative
9, 12, 108, 1.333, 0.426, 1.0, 1.64, 46, 108, 28, negative
9, 86, 774, 9.556, 0.3, 0.677, 2.13, 232, 524, 109, negative
8, 43, 344, 5.375, 0.494, 0.953, 3.4, 170, 328, 50, negative
8, 42, 336, 5.25, 0.423, 0.979, 2.37, 142, 329, 60, negative
11, 89, 979, 8.091, 0.17, 0.706, 2.72, 166, 691, 61, negative
10, 33, 330, 3.3, 0.394, 0.645, 3.25, 130, 213, 40, negative
14, 44, 616, 3.143, 0.398, 0.766, 2.5, 245, 472, 98, negative
13, 408, 5304, 31.385, 0.281, 0.677, 2.58, 1492, 3591, 579, negative
12, 66, 792, 5.5, 0.402, 0.78, 3.03, 318, 618, 105, negative
18, 168, 3024, 9.333, 0.187, 0.73, 2.34, 564, 2207, 241, negative
12, 58, 696, 4.833, 0.343, 0.803, 3.85, 239, 559, 62, negative
22, 71, 1562, 3.227, 0.487, 0.834, 10.13, 760, 1302, 75, negative
12, 84, 1008, 7.0, 0.331, 0.792, 2.35, 334, 798, 142, negative
9, 71, 639, 7.889, 0.39, 0.768, 2.44, 249, 491, 102, negative
10, 77, 770, 7.7, 0.469, 0.905, 2.64, 361, 697, 137, negative
6, 44, 264, 7.333, 0.447, 0.811, 2.11, 118, 214, 56, negative
9, 40, 360, 4.444, 0.506, 0.964, 3.08, 182, 347, 59, negative
26, 412, 10712, 15.846, 0.32, 0.664, 3.0, 3424, 7118, 1142, negative
13, 152, 1976, 11.692, 0.312, 0.714, 2.8, 617, 1410, 220, negative
12, 142, 1704, 11.833, 0.337, 0.759, 3.04, 575, 1293, 189, negative
12, 67, 804, 5.583, 0.403, 0.704, 3.68, 324, 566, 88, negative
7, 189, 1323, 27.0, 0.339, 0.704, 1.89, 449, 932, 237, negative
8, 70, 560, 8.75, 0.388, 0.841, 2.21, 217, 471, 98, negative
9, 106, 954, 11.778, 0.309, 0.791, 1.97, 295, 755, 150, negative
9, 13, 117, 1.444, 0.53, 0.88, 3.26, 62, 103, 19, negative
12, 497, 5964, 41.417, 0.278, 0.751, 2.27, 1657, 4478, 731, negative
6, 184, 1104, 30.667, 0.323, 0.752, 1.99, 357, 830, 179, negative
7, 46, 322, 6.571, 0.298, 0.994, 2.18, 96, 320, 44, negative
5, 28, 140, 5.6, 0.329, 0.871, 1.77, 46, 122, 26, negative
10, 35, 350, 3.5, 0.331, 0.686, 1.93, 116, 240, 60, negative
8, 40, 320, 5.0, 0.463, 0.969, 2.47, 148, 310, 60, negative
9, 33, 297, 3.667, 0.33, 0.845, 1.81, 98, 251, 54, negative
9, 40, 360, 4.444, 0.494, 0.925, 2.92, 178, 333, 61, negative
