@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.007, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
11, 8, 88, 0.727, 0.58, 1.0, 5.1, 51, 88, 10, negative
2, 22, 44, 11.0, 0.705, 0.864, 15.5, 31, 38, 2, positive
9, 92, 828, 10.222, 0.286, 0.885, 1.93, 237, 733, 123, negative
1, 10, 10, 10.0, 1.0, 1.0, 10.0, 10, 10, 1, positive
8, 3, 24, 0.375, 0.417, 0.417, 10.0, 10, 10, 1, negative
10, 126, 1260, 12.6, 0.425, 0.862, 2.68, 536, 1086, 200, negative
2, 116, 232, 58.0, 0.616, 0.802, 17.88, 143, 186, 8, positive
11, 7, 77, 0.636, 0.468, 1.0, 3.6, 36, 77, 10, negative
8, 35, 280, 4.375, 0.379, 0.886, 1.66, 106, 248, 64, negative
9, 95, 855, 10.556, 0.285, 0.723, 2.1, 244, 618, 116, negative
11, 101, 1111, 9.182, 0.239, 0.818, 1.61, 265, 909, 165, negative
12, 40, 480, 3.333, 0.271, 0.733, 1.97, 130, 352, 66, negative
11, 42, 462, 3.818, 0.335, 0.829, 2.25, 155, 383, 69, negative
12, 62, 744, 5.167, 0.234, 0.66, 1.58, 174, 491, 110, negative
5, 2, 10, 0.4, 0.8, 0.8, 8.0, 8, 8, 1, positive
8, 45, 360, 5.625, 0.469, 0.956, 2.91, 169, 344, 58, negative
9, 22, 198, 2.444, 0.298, 0.965, 2.11, 59, 191, 28, negative
5, 35, 175, 7.0, 0.2, 0.829, 4.38, 35, 145, 8, negative
10, 8, 80, 0.8, 0.5, 1.0, 5.0, 40, 80, 8, negative
9, 20, 180, 2.222, 0.339, 0.872, 2.35, 61, 157, 26, negative
10, 83, 830, 8.3, 0.295, 0.725, 2.02, 245, 602, 121, negative
11, 100, 1100, 9.091, 0.269, 0.765, 1.9, 296, 842, 156, negative
9, 20, 180, 2.222, 0.339, 0.772, 1.74, 61, 139, 35, negative
10, 101, 1010, 10.1, 0.466, 0.893, 3.02, 471, 902, 156, negative
10, 126, 1260, 12.6, 0.463, 0.848, 3.16, 584, 1068, 185, negative
4, 2, 8, 0.5, 0.875, 0.875, 7.0, 7, 7, 1, positive
10, 123, 1230, 12.3, 0.362, 0.888, 2.99, 445, 1092, 149, negative
66, 3, 198, 0.045, 0.657, 0.909, 2.6, 130, 180, 50, positive
10, 131, 1310, 13.1, 0.456, 0.851, 3.0, 597, 1115, 199, negative
1, 152, 152, 152.0, 0.822, 1.0, 11.36, 125, 152, 11, positive
1, 51, 51, 51.0, 0.471, 1.0, 2.4, 24, 51, 10, positive
7, 45, 315, 6.429, 0.2, 0.775, 1.91, 63, 244, 33, negative
9, 21, 189, 2.333, 0.392, 0.899, 2.74, 74, 170, 27, negative
11, 8, 88, 0.727, 0.25, 1.0, 2.44, 22, 88, 9, negative
9, 6, 54, 0.667, 0.5, 0.593, 13.5, 27, 32, 2, negative
10, 98, 980, 9.8, 0.463, 0.945, 2.72, 454, 926, 167, negative
9, 121, 1089, 13.444, 0.356, 0.817, 2.2, 388, 890, 176, negative
9, 41, 369, 4.556, 0.425, 0.962, 2.71, 157, 355, 58, negative
7, 16, 112, 2.286, 0.42, 0.768, 2.14, 47, 86, 22, negative
7, 100, 700, 14.286, 0.411, 0.849, 1.83, 288, 594, 157, negative
311, 463, 143993, 1.489, 0.088, 0.16, 3.93, 12631, 23092, 3212, positive
12, 8, 96, 0.667, 0.292, 1.0, 3.11, 28, 96, 9, negative
9, 121, 1089, 13.444, 0.399, 0.843, 2.4, 434, 918, 181, negative
11, 92, 1012, 8.364, 0.361, 0.851, 2.3, 365, 861, 159, negative
9, 41, 369, 4.556, 0.507, 0.992, 3.28, 187, 366, 57, negative
10, 11, 110, 1.1, 0.427, 1.0, 1.52, 47, 110, 31, negative
10, 80, 800, 8.0, 0.308, 0.838, 2.02, 246, 670, 122, negative
12, 13, 156, 1.083, 0.391, 0.981, 2.35, 61, 153, 26, negative
9, 40, 360, 4.444, 0.483, 0.992, 2.85, 174, 357, 61, negative
9, 47, 423, 5.222, 0.371, 0.825, 2.75, 157, 349, 57, negative
1, 117, 117, 117.0, 0.393, 1.0, 5.75, 46, 117, 8, positive
9, 12, 108, 1.333, 0.407, 1.0, 1.63, 44, 108, 27, negative
8, 12, 96, 1.5, 0.469, 1.0, 1.61, 45, 96, 28, negative
9, 81, 729, 9.0, 0.287, 0.826, 2.22, 209, 602, 94, negative
11, 86, 946, 7.818, 0.289, 0.701, 1.98, 273, 663, 138, negative
12, 117, 1404, 9.75, 0.251, 0.635, 1.86, 353, 891, 190, negative
8, 47, 376, 5.875, 0.324, 0.896, 2.18, 122, 337, 56, negative
14, 300, 4200, 21.429, 0.263, 0.607, 2.39, 1106, 2550, 462, negative
7, 31, 217, 4.429, 0.221, 0.853, 1.78, 48, 185, 27, negative
4, 15, 60, 3.75, 0.267, 0.8, 4.0, 16, 48, 4, negative
10, 8, 80, 0.8, 0.525, 0.875, 7.0, 42, 70, 6, negative
9, 53, 477, 5.889, 0.317, 0.805, 1.66, 151, 384, 91, negative
9, 81, 729, 9.0, 0.337, 0.918, 1.97, 246, 669, 125, negative
76, 1, 76, 0.013, 1.0, 1.0, 76.0, 76, 76, 1, positive
9, 130, 1170, 14.444, 0.513, 0.925, 2.86, 600, 1082, 210, negative
1, 44, 44, 44.0, 0.909, 1.0, 20.0, 40, 44, 2, positive
17, 77, 1309, 4.529, 0.314, 0.76, 2.94, 411, 995, 140, negative
11, 9, 99, 0.818, 0.545, 0.818, 9.0, 54, 81, 6, negative
1, 45, 45, 45.0, 0.933, 1.0, 21.0, 42, 45, 2, positive
9, 21, 189, 2.333, 0.365, 0.905, 2.3, 69, 171, 30, negative
11, 94, 1034, 8.545, 0.257, 0.604, 2.18, 266, 625, 122, negative
8, 54, 432, 6.75, 0.35, 0.887, 1.74, 151, 383, 87, negative
11, 82, 902, 7.455, 0.236, 0.814, 1.97, 213, 734, 108, negative
12, 73, 876, 6.083, 0.259, 0.743, 2.1, 227, 651, 108, negative
9, 81, 729, 9.0, 0.322, 0.819, 2.22, 235, 597, 106, negative
8, 43, 344, 5.375, 0.392, 0.927, 2.21, 135, 319, 61, negative
8, 3, 24, 0.375, 0.5, 0.667, 3.0, 12, 16, 4, negative
10, 38, 380, 3.8, 0.397, 0.887, 2.7, 151, 337, 56, negative
9, 21, 189, 2.333, 0.365, 0.82, 2.88, 69, 155, 24, negative
8, 11, 88, 1.375, 0.443, 1.0, 1.63, 39, 88, 24, negative
9, 12, 108, 1.333, 0.407, 0.898, 1.63, 44, 97, 27, negative
8, 83, 664, 10.375, 0.357, 0.979, 1.98, 237, 650, 120, negative
11, 26, 286, 2.364, 0.283, 0.888, 2.19, 81, 254, 37, negative
8, 6, 48, 0.75, 0.542, 0.646, 13.0, 26, 31, 2, negative
1, 73, 73, 73.0, 0.616, 1.0, 3.75, 45, 73, 12, positive
9, 123, 1107, 13.667, 0.39, 0.996, 2.82, 432, 1103, 153, negative
9, 93, 837, 10.333, 0.259, 0.895, 1.74, 217, 749, 125, negative
13, 1, 13, 0.077, 1.0, 1.0, 13.0, 13, 13, 1, positive
7, 9, 63, 1.286, 0.143, 0.238, 9.0, 9, 15, 1, positive
13, 409, 5317, 31.462, 0.267, 0.582, 2.23, 1421, 3095, 637, negative
7, 114, 798, 16.286, 0.253, 0.741, 1.77, 202, 591, 114, negative
9, 76, 684, 8.444, 0.352, 0.813, 2.27, 241, 556, 106, negative
13, 77, 1001, 5.923, 0.298, 0.7, 2.4, 298, 701, 124, negative
9, 172, 1548, 19.111, 0.353, 0.799, 2.43, 546, 1237, 225, negative
8, 17, 136, 2.125, 0.529, 0.853, 2.88, 72, 116, 25, negative
9, 45, 405, 5.0, 0.279, 0.785, 2.17, 113, 318, 52, negative
9, 107, 963, 11.889, 0.357, 0.875, 2.14, 344, 843, 161, negative
13, 409, 5317, 31.462, 0.312, 0.602, 3.03, 1657, 3200, 547, negative
13, 409, 5317, 31.462, 0.277, 0.573, 2.65, 1475, 3049, 556, negative
11, 337, 3707, 30.636, 0.175, 0.637, 2.2, 650, 2361, 296, negative
13, 30, 390, 2.308, 0.356, 0.649, 3.23, 139, 253, 43, negative
6, 29, 174, 4.833, 0.356, 0.684, 1.88, 62, 119, 33, negative
13, 58, 754, 4.462, 0.336, 0.599, 3.2, 253, 452, 79, negative
10, 22, 220, 2.2, 0.491, 0.932, 3.72, 108, 205, 29, negative
12, 124, 1488, 10.333, 0.3, 0.869, 1.96, 447, 1293, 228, negative
12, 122, 1464, 10.167, 0.26, 0.881, 2.3, 381, 1290, 166, negative
8, 13, 104, 1.625, 0.587, 0.837, 4.69, 61, 87, 13, negative
5, 116, 580, 23.2, 0.376, 0.784, 2.18, 218, 455, 100, negative
22, 71, 1562, 3.227, 0.536, 0.876, 11.64, 838, 1368, 72, negative
6, 189, 1134, 31.5, 0.324, 0.83, 1.62, 367, 941, 227, negative
36, 96, 3456, 2.667, 0.096, 0.207, 7.7, 331, 717, 43, positive
8, 107, 856, 13.375, 0.384, 0.86, 2.12, 329, 736, 155, negative
9, 91, 819, 10.111, 0.233, 0.789, 1.71, 191, 646, 112, negative
5, 29, 145, 5.8, 0.4, 0.89, 1.87, 58, 129, 31, negative
6, 89, 534, 14.833, 0.298, 0.758, 1.61, 159, 405, 99, negative
27, 115, 3105, 4.259, 0.293, 0.672, 2.35, 910, 2087, 388, negative
16, 44, 704, 2.75, 0.376, 0.744, 2.39, 265, 524, 111, negative
11, 104, 1144, 9.455, 0.367, 0.747, 2.56, 420, 854, 164, negative
11, 413, 4543, 37.545, 0.356, 0.806, 2.44, 1619, 3662, 664, negative
12, 118, 1416, 9.833, 0.35, 0.778, 2.98, 495, 1102, 166, negative
24, 96, 2304, 4.0, 0.208, 0.504, 3.18, 480, 1161, 151, negative
18, 48, 864, 2.667, 0.264, 0.524, 4.3, 228, 453, 53, negative
8, 67, 536, 8.375, 0.392, 0.724, 2.31, 210, 388, 91, negative
14, 19, 266, 1.357, 0.113, 0.504, 30.0, 30, 134, 1, positive
8, 271, 2168, 33.875, 0.314, 0.819, 1.82, 681, 1775, 375, negative
7, 13, 91, 1.857, 0.154, 0.484, 2.0, 14, 44, 7, positive
4, 7, 28, 1.75, 0.286, 1.0, 2.0, 8, 28, 4, positive
11, 271, 2981, 24.636, 0.177, 0.588, 1.49, 527, 1752, 353, negative
8, 7, 56, 0.875, 0.393, 0.946, 2.0, 22, 53, 11, negative
7, 7, 49, 1.0, 0.367, 1.0, 1.38, 18, 49, 13, negative
6, 17, 102, 2.833, 0.343, 0.873, 1.3, 35, 89, 27, negative
100, 49, 4900, 0.49, 0.093, 0.4, 1.77, 458, 1958, 259, positive
6, 5, 30, 0.833, 0.233, 0.633, 1.75, 7, 19, 4, positive
10, 271, 2710, 27.1, 0.188, 0.665, 1.31, 509, 1803, 388, negative
10, 272, 2720, 27.2, 0.206, 0.786, 1.4, 559, 2139, 399, negative
8, 10, 80, 1.25, 0.313, 0.675, 1.92, 25, 54, 13, negative
10, 272, 2720, 27.2, 0.191, 0.578, 1.49, 520, 1571, 348, negative
10, 125, 1250, 12.5, 0.19, 0.526, 1.39, 237, 657, 170, negative
8, 71, 568, 8.875, 0.238, 0.701, 1.47, 135, 398, 92, negative
11, 189, 2079, 17.182, 0.174, 0.613, 1.41, 361, 1275, 256, negative
10, 147, 1470, 14.7, 0.168, 0.55, 1.29, 247, 809, 191, negative
