@relation page-blocks0
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.007, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive, negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@outputs Class
@data
5, 7, 35, 1.4, 0.371, 0.743, 4.33, 13, 26, 3, negative
5, 2, 10, 0.4, 0.8, 1.0, 8.0, 8, 10, 1, negative
6, 7, 42, 1.167, 0.405, 0.952, 4.25, 17, 40, 4, negative
4, 6, 24, 1.5, 0.458, 0.792, 5.5, 11, 19, 2, negative
11, 85, 935, 7.727, 0.257, 0.894, 1.67, 240, 836, 144, negative
12, 12, 144, 1.0, 0.306, 0.979, 1.69, 44, 141, 26, negative
1, 44, 44, 44.0, 0.25, 1.0, 2.2, 11, 44, 5, positive
9, 5, 45, 0.556, 0.378, 0.933, 2.83, 17, 42, 6, negative
9, 85, 765, 9.444, 0.302, 0.812, 1.82, 231, 621, 127, negative
9, 44, 396, 4.889, 0.46, 0.937, 2.84, 182, 371, 64, negative
1, 57, 57, 57.0, 0.456, 1.0, 3.71, 26, 57, 7, positive
9, 123, 1107, 13.667, 0.362, 0.986, 2.62, 401, 1091, 153, negative
2, 31, 62, 15.5, 0.194, 0.516, 2.0, 12, 32, 6, negative
9, 14, 126, 1.556, 0.127, 0.937, 1.78, 16, 118, 9, negative
8, 23, 184, 2.875, 0.288, 1.0, 1.47, 53, 184, 36, negative
10, 13, 130, 1.3, 0.108, 0.685, 2.33, 14, 89, 6, negative
8, 70, 560, 8.75, 0.341, 0.918, 1.66, 191, 514, 115, negative
9, 82, 738, 9.111, 0.252, 0.74, 2.0, 186, 546, 93, negative
8, 46, 368, 5.75, 0.391, 0.951, 1.85, 144, 350, 78, negative
10, 126, 1260, 12.6, 0.41, 0.833, 2.63, 516, 1049, 196, negative
8, 44, 352, 5.5, 0.426, 0.938, 3.26, 150, 330, 46, negative
5, 8, 40, 1.6, 0.35, 0.675, 4.67, 14, 27, 3, negative
8, 17, 136, 2.125, 0.353, 0.801, 2.0, 48, 109, 24, negative
9, 12, 108, 1.333, 0.407, 0.88, 1.69, 44, 95, 26, negative
9, 82, 738, 9.111, 0.343, 0.913, 2.02, 253, 674, 125, negative
9, 82, 738, 9.111, 0.329, 0.871, 2.11, 243, 643, 115, negative
9, 97, 873, 10.778, 0.328, 0.921, 1.77, 286, 804, 162, negative
12, 13, 156, 1.083, 0.372, 0.981, 2.32, 58, 153, 25, negative
1, 36, 36, 36.0, 0.722, 1.0, 8.67, 26, 36, 3, positive
1, 19, 19, 19.0, 0.789, 1.0, 3.75, 15, 19, 4, positive
8, 42, 336, 5.25, 0.363, 0.97, 2.18, 122, 326, 56, negative
