@relation A1_2s
@attribute f1 real [1.0, 14.676518092171595]
@attribute f2 real [0, 11.857063022172984]
@attribute class {red, green}
@inputs f1, f2
@outputs class
@data
5.9,6,green
4,4.2,green
2.1,0.9,red
1.5,0.7,red
12,0,green
10,1,green
11,5,green
9,0.9,green
6.011106918313974,6.729481794594793,red
6.4851247691254885,7.11204372073252,red
7.063903958695923,6.856142669242438,red
14.559596832335533,6.138907993700947,green
10.33783710478381,5.197621484145925,green
14.472137488971747,8.373306750300063,green
12.554823376897048,4.894912599609255,green
11.037655864378046,7.110460636612601,green
14.705910021262914,9.645946508896149,green
8.55153618753928,4.526833498500615,green
9.81446952283614,8.401265808873863,green
14.773736138927003,8.668111985877035,green
11.480295802803877,6.940902486099839,green
14.989580246642616,8.82512911243247,green
14.456713754812004,5.400232089239488,green
8.826458099959899,8.029393521118774,green
12.213986099568707,8.658796716961408,green
8.906589619880211,9.760718475078843,green
12.07687941504469,8.88901558071251,green
14.071214809426465,2.458429293655728,green
14.380043677650848,2.0471216218058457,green
12.130139304359897,2.78420711816495,green
13.35941555652189,3.95669862342837,green
9.675183976590588,4.996861318914811,green
10.444826440931518,10.930831282102483,green
12.32283479963798,9.892300064903205,green
12.580236366014992,11.464598318091682,green
10.795584565946815,10.90367869031101,red
14.129752047960729,7.514995806946809,red
